source_row,property_size,location,renovation_cost,post_renovation_value,unit_type,sqft_renovated,sqft_to_add,material_grade,structural_change,reno_bathroom,reno_bedroom,reno_kitchen,reno_living_room,reno_other_custom,reno_full_renovation
7,3464,768381.9144879236,324150.75,833298.7401625001,bathroom,144,0.0,1,0,1,0,0,0,0,0
7,3464,768381.9144879236,324150.75,833298.7401625001,bathroom,122,0.0,2,0,1,0,0,0,0,0
7,3464,768381.9144879236,324150.75,833298.7401625001,kitchen,316,0.0,0,0,0,0,1,0,0,0
8,1588,718133.5629715051,76692.47,527543.72075,living room,304,0.0,0,0,0,0,0,1,0,0
8,1588,718133.5629715051,76692.47,527543.72075,kitchen,311,0.0,0,0,0,0,1,0,0,0
8,1588,718133.5629715051,76692.47,527543.72075,other/custom,383,0.0,0,0,0,0,0,0,1,0
9,4038,583628.098793705,543474.59,619426.5495788461,bedroom,291,0.0,1,0,0,1,0,0,0,0
9,4038,583628.098793705,543474.59,619426.5495788461,bedroom,270,322.0,2,1,0,1,0,0,0,0
9,4038,583628.098793705,543474.59,619426.5495788461,bedroom,304,0.0,1,0,0,1,0,0,0,0
9,4038,583628.098793705,543474.59,619426.5495788461,bedroom,256,0.0,2,0,0,1,0,0,0,0
9,4038,583628.098793705,543474.59,619426.5495788461,bedroom,298,0.0,0,0,0,1,0,0,0,0
9,4038,583628.098793705,543474.59,619426.5495788461,bedroom,314,0.0,0,0,0,1,0,0,0,0
9,4038,583628.098793705,543474.59,619426.5495788461,bedroom,258,322.0,0,1,0,1,0,0,0,0
9,4038,583628.098793705,543474.59,619426.5495788461,bathroom,111,0.0,2,0,1,0,0,0,0,0
9,4038,583628.098793705,543474.59,619426.5495788461,bathroom,112,0.0,2,0,1,0,0,0,0,0
9,4038,583628.098793705,543474.59,619426.5495788461,bathroom,111,0.0,2,0,1,0,0,0,0,0
9,4038,583628.098793705,543474.59,619426.5495788461,bathroom,129,0.0,1,0,1,0,0,0,0,0
9,4038,583628.098793705,543474.59,619426.5495788461,bathroom,129,0.0,1,0,1,0,0,0,0,0
9,4038,583628.098793705,543474.59,619426.5495788461,living room,381,0.0,1,0,0,0,0,1,0,0
10,2094,586295.9356004093,81225.07,610055.88475,bathroom,145,151.0,1,1,1,0,0,0,0,0
10,2094,586295.9356004093,81225.07,610055.88475,other/custom,405,0.0,1,0,0,0,0,0,1,0
11,1805,474032.3731833224,73408.18,605167.3391999999,living room,319,0.0,0,0,0,0,0,1,0,0
11,1805,474032.3731833224,73408.18,605167.3391999999,kitchen,306,0.0,1,0,0,0,1,0,0,0
12,1958,442581.28692691075,170974.15000000002,443156.6642624999,bedroom,256,0.0,2,0,0,1,0,0,0,0
12,1958,442581.28692691075,170974.15000000002,443156.6642624999,bedroom,305,0.0,1,0,0,1,0,0,0,0
12,1958,442581.28692691075,170974.15000000002,443156.6642624999,bedroom,251,322.0,2,1,0,1,0,0,0,0
12,1958,442581.28692691075,170974.15000000002,443156.6642624999,other/custom,370,0.0,0,0,0,0,0,0,1,0
13,3090,768096.9796926685,393787.81,693451.5083999999,bedroom,315,322.0,1,1,0,1,0,0,0,0
13,3090,768096.9796926685,393787.81,693451.5083999999,bedroom,275,322.0,0,1,0,1,0,0,0,0
13,3090,768096.9796926685,393787.81,693451.5083999999,bedroom,319,322.0,2,1,0,1,0,0,0,0
13,3090,768096.9796926685,393787.81,693451.5083999999,bedroom,322,0.0,1,0,0,1,0,0,0,0
13,3090,768096.9796926685,393787.81,693451.5083999999,bedroom,278,0.0,2,0,0,1,0,0,0,0
13,3090,768096.9796926685,393787.81,693451.5083999999,bathroom,125,0.0,2,0,1,0,0,0,0,0
13,3090,768096.9796926685,393787.81,693451.5083999999,bathroom,120,0.0,1,0,1,0,0,0,0,0
13,3090,768096.9796926685,393787.81,693451.5083999999,bathroom,114,0.0,2,0,1,0,0,0,0,0
13,3090,768096.9796926685,393787.81,693451.5083999999,bathroom,149,0.0,1,0,1,0,0,0,0,0
14,2026,421138.5496460387,302402.79000000004,632543.5267642858,bedroom,251,0.0,1,0,0,1,0,0,0,0
14,2026,421138.5496460387,302402.79000000004,632543.5267642858,bedroom,242,0.0,0,0,0,1,0,0,0,0
14,2026,421138.5496460387,302402.79000000004,632543.5267642858,bedroom,277,322.0,0,1,0,1,0,0,0,0
14,2026,421138.5496460387,302402.79000000004,632543.5267642858,bedroom,302,322.0,2,1,0,1,0,0,0,0
14,2026,421138.5496460387,302402.79000000004,632543.5267642858,bathroom,145,0.0,2,0,1,0,0,0,0,0
14,2026,421138.5496460387,302402.79000000004,632543.5267642858,bathroom,132,0.0,1,0,1,0,0,0,0,0
14,2026,421138.5496460387,302402.79000000004,632543.5267642858,living room,308,301.0,0,1,0,0,0,1,0,0
15,1805,589379.4798394532,245812.62,535551.613675,bedroom,248,0.0,0,0,0,1,0,0,0,0
15,1805,589379.4798394532,245812.62,535551.613675,bedroom,284,0.0,0,0,0,1,0,0,0,0
15,1805,589379.4798394532,245812.62,535551.613675,bedroom,252,322.0,2,1,0,1,0,0,0,0
15,1805,589379.4798394532,245812.62,535551.613675,bathroom,122,151.0,0,1,1,0,0,0,0,0
15,1805,589379.4798394532,245812.62,535551.613675,bathroom,145,0.0,1,0,1,0,0,0,0,0
15,1805,589379.4798394532,245812.62,535551.613675,living room,324,0.0,2,0,0,0,0,1,0,0
16,1161,518778.0673718569,51547.28,420440.59835,living room,265,0.0,0,0,0,0,0,1,0,0
16,1161,518778.0673718569,51547.28,420440.59835,other/custom,284,0.0,1,0,0,0,0,0,1,0
17,2146,473663.46079924994,276193.13,527860.9999285714,bedroom,290,322.0,0,1,0,1,0,0,0,0
17,2146,473663.46079924994,276193.13,527860.9999285714,bedroom,284,0.0,1,0,0,1,0,0,0,0
17,2146,473663.46079924994,276193.13,527860.9999285714,bedroom,283,0.0,0,0,0,1,0,0,0,0
17,2146,473663.46079924994,276193.13,527860.9999285714,bedroom,313,0.0,0,0,0,1,0,0,0,0
17,2146,473663.46079924994,276193.13,527860.9999285714,bathroom,150,151.0,1,1,1,0,0,0,0,0
17,2146,473663.46079924994,276193.13,527860.9999285714,bathroom,122,0.0,0,0,1,0,0,0,0,0
17,2146,473663.46079924994,276193.13,527860.9999285714,living room,402,301.0,1,1,0,0,0,1,0,0
18,855,420882.7322267811,49142.77,265158.435975,bedroom,146,143.0841121495327,2,1,0,1,0,0,0,0
18,855,420882.7322267811,49142.77,265158.435975,living room,180,122.08411214953271,1,1,0,0,0,1,0,0
19,3673,764615.9502687944,407600.2,851516.6819874999,bedroom,266,322.0,2,1,0,1,0,0,0,0
19,3673,764615.9502687944,407600.2,851516.6819874999,bedroom,306,0.0,0,0,0,1,0,0,0,0
19,3673,764615.9502687944,407600.2,851516.6819874999,bedroom,319,0.0,0,0,0,1,0,0,0,0
19,3673,764615.9502687944,407600.2,851516.6819874999,bedroom,266,0.0,0,0,0,1,0,0,0,0
19,3673,764615.9502687944,407600.2,851516.6819874999,bedroom,321,0.0,0,0,0,1,0,0,0,0
19,3673,764615.9502687944,407600.2,851516.6819874999,bedroom,247,322.0,2,1,0,1,0,0,0,0
19,3673,764615.9502687944,407600.2,851516.6819874999,bathroom,127,151.0,1,1,1,0,0,0,0,0
19,3673,764615.9502687944,407600.2,851516.6819874999,bathroom,140,0.0,2,0,1,0,0,0,0,0
19,3673,764615.9502687944,407600.2,851516.6819874999,bathroom,139,0.0,0,0,1,0,0,0,0,0
19,3673,764615.9502687944,407600.2,851516.6819874999,living room,385,0.0,2,0,0,0,0,1,0,0
20,1304,891671.9944522413,56007.3,379157.2906999999,living room,279,0.0,2,0,0,0,0,1,0,0
20,1304,891671.9944522413,56007.3,379157.2906999999,kitchen,276,0.0,0,0,0,0,1,0,0,0
21,6247,2500823.911981166,85368.34,2414710.1929999995,living room,342,301.0,0,1,0,0,0,1,0,0
21,6247,2500823.911981166,85368.34,2414710.1929999995,kitchen,397,301.0,0,1,0,0,1,0,0,0
22,3214,926886.3923402496,490265.28,1105688.6078062502,bedroom,308,0.0,1,0,0,1,0,0,0,0
22,3214,926886.3923402496,490265.28,1105688.6078062502,bedroom,266,322.0,1,1,0,1,0,0,0,0
22,3214,926886.3923402496,490265.28,1105688.6078062502,bedroom,259,0.0,0,0,0,1,0,0,0,0
22,3214,926886.3923402496,490265.28,1105688.6078062502,bedroom,262,322.0,1,1,0,1,0,0,0,0
22,3214,926886.3923402496,490265.28,1105688.6078062502,bedroom,250,0.0,2,0,0,1,0,0,0,0
22,3214,926886.3923402496,490265.28,1105688.6078062502,bedroom,293,0.0,2,0,0,1,0,0,0,0
22,3214,926886.3923402496,490265.28,1105688.6078062502,bedroom,303,0.0,2,0,0,1,0,0,0,0
22,3214,926886.3923402496,490265.28,1105688.6078062502,bathroom,128,0.0,0,0,1,0,0,0,0,0
22,3214,926886.3923402496,490265.28,1105688.6078062502,bathroom,134,0.0,1,0,1,0,0,0,0,0
22,3214,926886.3923402496,490265.28,1105688.6078062502,bathroom,127,151.0,1,1,1,0,0,0,0,0
22,3214,926886.3923402496,490265.28,1105688.6078062502,bathroom,128,0.0,0,0,1,0,0,0,0,0
22,3214,926886.3923402496,490265.28,1105688.6078062502,living room,340,301.0,0,1,0,0,0,1,0,0
23,1369,337972.4055670806,122422.52,242036.621625,bedroom,227,0.0,2,0,0,1,0,0,0,0
23,1369,337972.4055670806,122422.52,242036.621625,bedroom,240,0.0,2,0,0,1,0,0,0,0
23,1369,337972.4055670806,122422.52,242036.621625,bathroom,105,101.24475524475524,2,1,1,0,0,0,0,0
23,1369,337972.4055670806,122422.52,242036.621625,living room,300,194.73426573426573,1,1,0,0,0,1,0,0
24,2113,589670.1151351548,246636.53,658945.7754,full renovation,2113,0.0,2,0,0,0,0,0,0,1
25,1649,456784.7012993054,235420.91,388805.62125,bedroom,282,0.0,1,0,0,1,0,0,0,0
25,1649,456784.7012993054,235420.91,388805.62125,bedroom,295,0.0,2,0,0,1,0,0,0,0
25,1649,456784.7012993054,235420.91,388805.62125,bedroom,260,0.0,1,0,0,1,0,0,0,0
25,1649,456784.7012993054,235420.91,388805.62125,bathroom,142,0.0,1,0,1,0,0,0,0,0
25,1649,456784.7012993054,235420.91,388805.62125,bathroom,128,0.0,1,0,1,0,0,0,0,0
25,1649,456784.7012993054,235420.91,388805.62125,living room,313,0.0,0,0,0,0,0,1,0,0
26,1076,422600.3971445641,101763.31,319614.06584999996,bedroom,0,0.0,0,0,0,1,0,0,0,0
26,1076,422600.3971445641,101763.31,319614.06584999996,bedroom,0,0.0,1,0,0,1,0,0,0,0
26,1076,422600.3971445641,101763.31,319614.06584999996,bathroom,0,0.0,1,0,1,0,0,0,0,0
26,1076,422600.3971445641,101763.31,319614.06584999996,kitchen,0,0.0,2,0,0,0,1,0,0,0
27,2305,329482.05229326704,139919.53,417880.26585,living room,331,0.0,1,0,0,0,0,1,0,0
27,2305,329482.05229326704,139919.53,417880.26585,kitchen,404,301.0,2,1,0,0,1,0,0,0
27,2305,329482.05229326704,139919.53,417880.26585,other/custom,319,0.0,1,0,0,0,0,0,1,0
28,1007,259110.37473145,46329.46,275232.6679,kitchen,185,0.0,0,0,0,0,1,0,0,0
28,1007,259110.37473145,46329.46,275232.6679,other/custom,192,0.0,0,0,0,0,0,0,1,0
29,3404,764615.9502687944,84980.28,730465.6518000001,bathroom,129,0.0,2,0,1,0,0,0,0,0
29,3404,764615.9502687944,84980.28,730465.6518000001,living room,347,0.0,1,0,0,0,0,1,0,0
30,809,422600.3971445641,74762.01,249918.5288,living room,172,0.0,1,0,0,0,0,1,0,0
30,809,422600.3971445641,74762.01,249918.5288,kitchen,146,116.06542056074767,2,1,0,0,1,0,0,0
30,809,422600.3971445641,74762.01,249918.5288,other/custom,181,0.0,0,0,0,0,0,0,1,0
31,2198,857843.3948752978,91337.45,603263.622675,living room,319,0.0,2,0,0,0,0,1,0,0
31,2198,857843.3948752978,91337.45,603263.622675,kitchen,405,301.0,1,1,0,0,1,0,0,0
32,4140,748201.1019928089,89044.06,802590.3594999999,bathroom,138,151.0,2,1,1,0,0,0,0,0
32,4140,748201.1019928089,89044.06,802590.3594999999,other/custom,303,0.0,0,0,0,0,0,0,1,0
33,1325,918049.8174818624,106768.46,424037.27017500007,bedroom,239,0.0,1,0,0,1,0,0,0,0
33,1325,918049.8174818624,106768.46,424037.27017500007,bedroom,214,209.84848484848484,1,1,0,1,0,0,0,0
33,1325,918049.8174818624,106768.46,424037.27017500007,bathroom,104,0.0,0,0,1,0,0,0,0,0
33,1325,918049.8174818624,106768.46,424037.27017500007,other/custom,280,188.27272727272728,1,1,0,0,0,0,1,0
34,1822,453214.30405612406,205417.44,458959.238125,bedroom,265,322.0,0,1,0,1,0,0,0,0
34,1822,453214.30405612406,205417.44,458959.238125,bedroom,267,0.0,1,0,0,1,0,0,0,0
34,1822,453214.30405612406,205417.44,458959.238125,bedroom,261,0.0,2,0,0,1,0,0,0,0
34,1822,453214.30405612406,205417.44,458959.238125,bathroom,130,0.0,2,0,1,0,0,0,0,0
34,1822,453214.30405612406,205417.44,458959.238125,other/custom,387,0.0,0,0,0,0,0,0,1,0
35,4186,926886.3923402496,121885.02,1267334.2195,living room,307,0.0,1,0,0,0,0,1,0,0
35,4186,926886.3923402496,121885.02,1267334.2195,kitchen,397,0.0,1,0,0,0,1,0,0,0
35,4186,926886.3923402496,121885.02,1267334.2195,other/custom,409,301.0,0,1,0,0,0,0,1,0
36,1703,517533.772599866,69455.5,595435.5606,bathroom,116,0.0,0,0,1,0,0,0,0,0
36,1703,517533.772599866,69455.5,595435.5606,other/custom,448,0.0,0,0,0,0,0,0,1,0
37,926,257189.58842055337,70032.93,251188.45675,living room,172,0.0,2,0,0,0,0,1,0,0
37,926,257189.58842055337,70032.93,251188.45675,kitchen,170,0.0,0,0,0,0,1,0,0,0
37,926,257189.58842055337,70032.93,251188.45675,other/custom,191,0.0,0,0,0,0,0,0,1,0
38,1020,360382.7244231585,88932.87,347582.99960000004,bedroom,168,0.0,0,0,0,1,0,0,0,0
38,1020,360382.7244231585,88932.87,347582.99960000004,bedroom,169,0.0,0,0,0,1,0,0,0,0
38,1020,360382.7244231585,88932.87,347582.99960000004,bathroom,88,0.0,0,0,1,0,0,0,0,0
38,1020,360382.7244231585,88932.87,347582.99960000004,kitchen,187,0.0,0,0,0,0,1,0,0,0
39,420,551406.6991672434,62742.9,167990.8824,bedroom,117,0.0,0,0,0,1,0,0,0,0
39,420,551406.6991672434,62742.9,167990.8824,bathroom,61,55.254641909814325,0,1,1,0,0,0,0,0
39,420,551406.6991672434,62742.9,167990.8824,kitchen,108,0.0,0,0,0,0,1,0,0,0
40,1265,329482.05229326704,52229.149999999994,230412.504275,kitchen,280,0.0,0,0,0,0,1,0,0,0
40,1265,329482.05229326704,52229.149999999994,230412.504275,other/custom,277,0.0,1,0,0,0,0,0,1,0
41,2274,857843.3948752978,74625.91,608219.7632250001,bathroom,149,0.0,1,0,1,0,0,0,0,0
41,2274,857843.3948752978,74625.91,608219.7632250001,living room,417,0.0,0,0,0,0,0,1,0,0
42,985,259110.37473145,45745.39,278297.50325,living room,194,0.0,1,0,0,0,0,1,0,0
42,985,259110.37473145,45745.39,278297.50325,kitchen,180,0.0,1,0,0,0,1,0,0,0
43,1739,549128.4854811856,95860.43,615072.673,bathroom,127,151.0,2,1,1,0,0,0,0,0
43,1739,549128.4854811856,95860.43,615072.673,other/custom,304,0.0,2,0,0,0,0,0,1,0
44,2126,438354.1998740959,238314.11,487398.3656875001,bedroom,280,0.0,0,0,0,1,0,0,0,0
44,2126,438354.1998740959,238314.11,487398.3656875001,bedroom,258,322.0,1,1,0,1,0,0,0,0
44,2126,438354.1998740959,238314.11,487398.3656875001,bedroom,256,0.0,0,0,0,1,0,0,0,0
44,2126,438354.1998740959,238314.11,487398.3656875001,bathroom,129,0.0,0,0,1,0,0,0,0,0
44,2126,438354.1998740959,238314.11,487398.3656875001,bathroom,130,151.0,1,1,1,0,0,0,0,0
44,2126,438354.1998740959,238314.11,487398.3656875001,kitchen,411,0.0,1,0,0,0,1,0,0,0
45,883,257189.58842055337,47331.94,237682.86745,living room,166,0.0,0,0,0,0,0,1,0,0
45,883,257189.58842055337,47331.94,237682.86745,other/custom,190,0.0,2,0,0,0,0,0,1,0
46,4906,891671.9944522413,569886.56,1411969.3010285716,bedroom,283,322.0,1,1,0,1,0,0,0,0
46,4906,891671.9944522413,569886.56,1411969.3010285716,bedroom,297,0.0,0,0,0,1,0,0,0,0
46,4906,891671.9944522413,569886.56,1411969.3010285716,bedroom,309,322.0,2,1,0,1,0,0,0,0
46,4906,891671.9944522413,569886.56,1411969.3010285716,bedroom,270,0.0,0,0,0,1,0,0,0,0
46,4906,891671.9944522413,569886.56,1411969.3010285716,bedroom,256,322.0,0,1,0,1,0,0,0,0
46,4906,891671.9944522413,569886.56,1411969.3010285716,bedroom,321,0.0,0,0,0,1,0,0,0,0
46,4906,891671.9944522413,569886.56,1411969.3010285716,bedroom,249,0.0,2,0,0,1,0,0,0,0
46,4906,891671.9944522413,569886.56,1411969.3010285716,bedroom,284,0.0,0,0,0,1,0,0,0,0
46,4906,891671.9944522413,569886.56,1411969.3010285716,bedroom,252,0.0,0,0,0,1,0,0,0,0
46,4906,891671.9944522413,569886.56,1411969.3010285716,bathroom,140,0.0,0,0,1,0,0,0,0,0
46,4906,891671.9944522413,569886.56,1411969.3010285716,bathroom,135,0.0,1,0,1,0,0,0,0,0
46,4906,891671.9944522413,569886.56,1411969.3010285716,bathroom,116,0.0,2,0,1,0,0,0,0,0
46,4906,891671.9944522413,569886.56,1411969.3010285716,bathroom,129,0.0,2,0,1,0,0,0,0,0
46,4906,891671.9944522413,569886.56,1411969.3010285716,living room,384,301.0,0,1,0,0,0,1,0,0
47,3769,584356.9210885423,74134.98,542852.86895,bathroom,120,0.0,0,0,1,0,0,0,0,0
47,3769,584356.9210885423,74134.98,542852.86895,kitchen,394,0.0,1,0,0,0,1,0,0,0
48,2090,441299.5865086248,212433.92,509838.6425,full renovation,2090,0.0,2,0,0,0,0,0,0,1
49,1923,467907.5515662078,195860.45,739378.2700499999,full renovation,1923,0.0,1,0,0,0,0,0,0,1
50,1286,562615.8913025274,58593.600000000006,491706.2482,bathroom,101,0.0,0,0,1,0,0,0,0,0
50,1286,562615.8913025274,58593.600000000006,491706.2482,kitchen,270,0.0,2,0,0,0,1,0,0,0
51,3713,584356.9210885423,541664.7400000001,580944.3093461539,bedroom,304,0.0,1,0,0,1,0,0,0,0
51,3713,584356.9210885423,541664.7400000001,580944.3093461539,bedroom,271,0.0,0,0,0,1,0,0,0,0
51,3713,584356.9210885423,541664.7400000001,580944.3093461539,bedroom,299,0.0,2,0,0,1,0,0,0,0
51,3713,584356.9210885423,541664.7400000001,580944.3093461539,bedroom,242,0.0,0,0,0,1,0,0,0,0
51,3713,584356.9210885423,541664.7400000001,580944.3093461539,bedroom,298,0.0,0,0,0,1,0,0,0,0
51,3713,584356.9210885423,541664.7400000001,580944.3093461539,bedroom,248,0.0,2,0,0,1,0,0,0,0
51,3713,584356.9210885423,541664.7400000001,580944.3093461539,bedroom,248,0.0,0,0,0,1,0,0,0,0
51,3713,584356.9210885423,541664.7400000001,580944.3093461539,bathroom,149,151.0,1,1,1,0,0,0,0,0
51,3713,584356.9210885423,541664.7400000001,580944.3093461539,bathroom,135,151.0,2,1,1,0,0,0,0,0
51,3713,584356.9210885423,541664.7400000001,580944.3093461539,bathroom,143,0.0,2,0,1,0,0,0,0,0
51,3713,584356.9210885423,541664.7400000001,580944.3093461539,bathroom,126,151.0,0,1,1,0,0,0,0,0
51,3713,584356.9210885423,541664.7400000001,580944.3093461539,bathroom,132,151.0,2,1,1,0,0,0,0,0
51,3713,584356.9210885423,541664.7400000001,580944.3093461539,living room,307,0.0,2,0,0,0,0,1,0,0
52,947,551406.6991672434,45953.48,358028.7310999999,kitchen,182,134.1214953271028,1,1,0,0,1,0,0,0
52,947,551406.6991672434,45953.48,358028.7310999999,other/custom,175,0.0,1,0,0,0,0,0,1,0
53,1793,729059.2861618154,261794.69,620968.1766499999,bedroom,284,0.0,1,0,0,1,0,0,0,0
53,1793,729059.2861618154,261794.69,620968.1766499999,bedroom,276,322.0,1,1,0,1,0,0,0,0
53,1793,729059.2861618154,261794.69,620968.1766499999,bedroom,276,0.0,1,0,0,1,0,0,0,0
53,1793,729059.2861618154,261794.69,620968.1766499999,bathroom,130,0.0,2,0,1,0,0,0,0,0
53,1793,729059.2861618154,261794.69,620968.1766499999,bathroom,135,0.0,2,0,1,0,0,0,0,0
53,1793,729059.2861618154,261794.69,620968.1766499999,living room,388,0.0,2,0,0,0,0,1,0,0
54,1293,470718.2613586728,82604.25,452718.0873,living room,269,0.0,0,0,0,0,0,1,0,0
54,1293,470718.2613586728,82604.25,452718.0873,kitchen,299,183.57342657342656,0,1,0,0,1,0,0,0
54,1293,470718.2613586728,82604.25,452718.0873,other/custom,273,0.0,2,0,0,0,0,0,1,0
55,825,550897.0231795768,65922.19,323508.63060000003,bedroom,153,0.0,1,0,0,1,0,0,0,0
55,825,550897.0231795768,65922.19,323508.63060000003,bathroom,89,70.3613707165109,1,1,1,0,0,0,0,0
55,825,550897.0231795768,65922.19,323508.63060000003,living room,167,118.1588785046729,0,1,0,0,0,1,0,0
56,3304,748201.1019928089,367690.18000000005,746416.1365,bedroom,304,0.0,2,0,0,1,0,0,0,0
56,3304,748201.1019928089,367690.18000000005,746416.1365,bedroom,289,0.0,2,0,0,1,0,0,0,0
56,3304,748201.1019928089,367690.18000000005,746416.1365,bedroom,254,322.0,2,1,0,1,0,0,0,0
56,3304,748201.1019928089,367690.18000000005,746416.1365,bedroom,315,0.0,2,0,0,1,0,0,0,0
56,3304,748201.1019928089,367690.18000000005,746416.1365,bedroom,265,0.0,1,0,0,1,0,0,0,0
56,3304,748201.1019928089,367690.18000000005,746416.1365,bathroom,126,151.0,2,1,1,0,0,0,0,0
56,3304,748201.1019928089,367690.18000000005,746416.1365,bathroom,146,151.0,2,1,1,0,0,0,0,0
56,3304,748201.1019928089,367690.18000000005,746416.1365,living room,312,0.0,1,0,0,0,0,1,0,0
57,1059,362201.48039049795,79670.37,342292.1772,bedroom,169,0.0,2,0,0,1,0,0,0,0
57,1059,362201.48039049795,79670.37,342292.1772,bedroom,170,0.0,2,0,0,1,0,0,0,0
57,1059,362201.48039049795,79670.37,342292.1772,living room,198,0.0,0,0,0,0,0,1,0,0
58,1635,514826.1349765647,149147.28,596105.145,bedroom,300,0.0,1,0,0,1,0,0,0,0
58,1635,514826.1349765647,149147.28,596105.145,bedroom,312,0.0,0,0,0,1,0,0,0,0
58,1635,514826.1349765647,149147.28,596105.145,bathroom,144,0.0,1,0,1,0,0,0,0,0
58,1635,514826.1349765647,149147.28,596105.145,other/custom,303,0.0,0,0,0,0,0,0,1,0
59,1225,514826.1349765647,70697.75,437196.4561,bathroom,107,0.0,2,0,1,0,0,0,0,0
59,1225,514826.1349765647,70697.75,437196.4561,kitchen,250,173.5874125874126,2,1,0,0,1,0,0,0
60,2267,474032.3731833224,78700.75,774041.703275,living room,329,0.0,2,0,0,0,0,1,0,0
60,2267,474032.3731833224,78700.75,774041.703275,other/custom,371,0.0,1,0,0,0,0,0,1,0
61,1633,512787.1344803147,74625.91,564646.200325,bathroom,138,0.0,1,0,1,0,0,0,0,0
61,1633,512787.1344803147,74625.91,564646.200325,other/custom,304,0.0,0,0,0,0,0,0,1,0
62,2404,884761.8567269483,82520.31,645334.2660249999,living room,450,301.0,0,1,0,0,0,1,0,0
62,2404,884761.8567269483,82520.31,645334.2660249999,kitchen,308,0.0,1,0,0,0,1,0,0,0
63,6626,2504340.910944834,127876.83,2383769.8096999996,living room,337,0.0,2,0,0,0,0,1,0,0
63,6626,2504340.910944834,127876.83,2383769.8096999996,kitchen,413,301.0,0,1,0,0,1,0,0,0
63,6626,2504340.910944834,127876.83,2383769.8096999996,other/custom,406,0.0,2,0,0,0,0,0,1,0
64,6079,2511284.4665295603,626047.6799999999,2474354.2262999997,full renovation,6079,0.0,2,0,0,0,0,0,0,1
65,1281,421138.5496460387,58988.11,389209.4505,living room,279,181.8111888111888,2,1,0,0,0,1,0,0
65,1281,421138.5496460387,58988.11,389209.4505,kitchen,285,0.0,0,0,0,0,1,0,0,0
66,2297,333612.3852677651,72383.6,393849.84180000005,bathroom,130,151.0,0,1,1,0,0,0,0,0
66,2297,333612.3852677651,72383.6,393849.84180000005,kitchen,304,0.0,0,0,0,0,1,0,0,0
67,2776,722057.5300960252,76983.01,879789.3895999999,bathroom,111,0.0,0,0,1,0,0,0,0,0
67,2776,722057.5300960252,76983.01,879789.3895999999,living room,427,301.0,0,1,0,0,0,1,0,0
68,1202,512787.1344803147,84324.23000000001,417037.5229999999,bedroom,190,0.0,2,0,0,1,0,0,0,0
68,1202,512787.1344803147,84324.23000000001,417037.5229999999,bedroom,221,0.0,1,0,0,1,0,0,0,0
68,1202,512787.1344803147,84324.23000000001,417037.5229999999,bathroom,97,0.0,1,0,1,0,0,0,0,0
69,3514,742739.9151843397,507742.91,792269.24624375,bedroom,280,0.0,2,0,0,1,0,0,0,0
69,3514,742739.9151843397,507742.91,792269.24624375,bedroom,318,0.0,0,0,0,1,0,0,0,0
69,3514,742739.9151843397,507742.91,792269.24624375,bedroom,265,0.0,1,0,0,1,0,0,0,0
