renovation_type,bedrooms_to_reno,bathrooms_to_reno,sqft_renovated,sqft_to_add,material_grade,structural_changes,property_size,location,renovation_cost,pre_renovation_cost,post_renovation_description,sqft_renovated_num,sqft_to_add_num,post_renovation_value,reno_bathroom,reno_bedroom,reno_kitchen,reno_living_room,reno_other_custom,reno_full_renovation
"[""Bedroom""]",1,0,"{""bedrooms"": [171], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [19], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [3]}",[1],0.22030040964952208,0.0459375,-0.6166548289514515,0.7485218414932795,the thoughtfully proportioned rooms of this prestwich home create a sense of fluidity as you move through its wellstructured layout the entrance hall provides a calm and uncluttered space for key storage and a coat rack setting the tone for the rest of the property a doorway to the left leads into the main living area where a compact and wellappointed kitchen sits alongside a pair of french doors that lead into a hallway this short passage then opens into a spacious living room its proportions carefully balanced by the placement of a window seat and a builtin shelving unit in the bedroom carefully considered storage solutions and a plush carpet create a peaceful retreat a comfortable double bed is positioned beneath a period feature window its wooden sash gliding effortlessly with the gentle touch of a hand the proportions of the room are wellbalanced with a compact wardrobe nestled discreetly in one corner its door swinging open to reveal ample hanging space throughout the property the presentation is cohesive with neutral colour palettes and a clear emphasis on functionality allowing the individual spaces to shine the result is a home that feels both grounded and refined where the needs of everyday life are elegantly met and accommodated,0.599009900990099,0.041379310344827586,400234.5079118182,0,1,0,0,0,0
"[""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other/Custom"": 162}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other/Custom"": 251}}","{""other"": {""Other/Custom"": 1}}",[1],-0.267637687756031,0.05546875,-0.43721359691933337,-0.3853395439826992,the kitchen flows directly into a dining area where a glazed door leads out to the adjacent living space the kitchen is a practical room with creamcoloured units arranged around a central work surface a stainless steel sink sits below a large opaque window the space has been organised with a clear separation between the working areas and the dining space the living area is spacious and features a large window at the rear which lets in a gentle amount of natural light the rooms layout is openplan creating a sense of flow between the living and dining spaces a raised section to one side provides additional seating and creates a clear visual separation from the main area,-0.24752475247524752,-0.0896551724137931,239431.15174999996,0,0,0,0,1,0
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",1,2,"{""bedrooms"": [189], ""bathrooms"": [66, 94], ""other"": {""Other/Custom"": 236}}","{""bedrooms"": [211], ""bathrooms"": [84, 65], ""other"": {""Other/Custom"": 125}}","{""bedrooms"": [1], ""bathrooms"": [1, 2], ""other"": {""Other/Custom"": 1}}","[1, 0, 0, 1]",0.2585343650432408,0.05546875,0.9887587481348733,-0.159742053538589,the openplan living space flows seamlessly into the dining area separating the kitchen from the central hub of the home a spacious kitchen fitted with gloss units and granite worktops features an integrated cooker fridge freezer and microwave the adjacent utility area has space for a washing machine and dryer a large walkin pantry provides additional storage in the adjacent bathroom a freestanding bath is accompanied by a separate shower cubicle and a wallmounted wc ceramic tiles cover the walls and floor with a shower screen adding a touch of modernity,1.4801980198019802,2.393103448275862,327955.8709,1,1,0,0,1,0
"[""Bathroom""]",0,2,"{""bedrooms"": [], ""bathrooms"": [93, 100], ""other"": {}}","{""bedrooms"": [], ""bathrooms"": [106, 38], ""other"": {}}","{""bathrooms"": [3, 3]}","[1, 1]",-0.05279927173418298,0.0415625,-0.2427248852343252,0.01849958709477661,the division of space within the property is defined by a series of neat doorways and corridors that guide the eye through the various rooms the layout is straightforward with a clear progression from the entrance through to the sleeping and bathing spaces a hallway flanked by builtin storage units and a staircase sets the tone for the rest of the property the bathroom has been refurbished to a high standard boasting a stylish suite of fixtures and fittings in white porcelain accompanied by a wallmounted sink and a large walkin shower the walls are clad in white and silver tiles adding a touch of modernity to the space a builtin cabinet provides ample storage for toiletries and personal items the propertys overall coherence and presentation are a testament to its wellpresented condition the various rooms flow seamlessly into one another with a clear sense of proportion and restraint evident throughout the interior is free from clutter and the surfaces are all clean and wellmaintained giving the impression of a property that is ready for occupation and in need of little more than a key,0.7079207920792079,0.903448275862069,333144.37279999995,1,0,0,0,0,0
"[""Bedroom"", ""Kitchen""]",2,0,"{""bedrooms"": [216, 201], ""bathrooms"": [], ""other"": {""Kitchen"": 184}}","{""bedrooms"": [195, 48], ""bathrooms"": [], ""other"": {""Kitchen"": 285}}","{""bedrooms"": [1, 1], ""other"": {""Kitchen"": 2}}","[0, 0, 0]",0.8010923987255348,0.0709375,1.230300343699185,1.2179466316361636,a clear divide separates the living and sleeping areas framing the main space of the house the kitchen has been fitted with white units and a central island a stainless steel sink and an electric oven complete the set a separate dining area sits adjacent to the kitchen the house feels cohesive with furniture and decorations grouped thoughtfully in each room to create a sense of calm the flooring is a combination of laminate and carpet and the walls are painted a soft grey,1.816831683168317,1.5862068965517242,553466.9482,0,1,1,0,0,0
"[""Bedroom"", ""Kitchen""]",1,0,"{""bedrooms"": [88], ""bathrooms"": [], ""other"": {""Kitchen"": 318}}","{""bedrooms"": [218], ""bathrooms"": [], ""other"": {""Kitchen"": 24}}","{""bedrooms"": [2], ""other"": {""Kitchen"": 1}}","[0, 1]",0.11470186618115612,0.046875,0.0022607647454516958,0.6950664736671804,the living room leads directly into the kitchen with the dining area situated adjacent to a small hallway that connects to the sleeping accommodation the kitchen has been updated with modern units and laminate worktops complemented by a builtin electric oven and a stainless steel sink a small extractor fan above the sink is integrated into the ceiling an adjacent dining area provides a convenient space for eating and socialising the kitchen flooring is ceramic tiles the living room is a comfortable space for relaxing with a stone fireplace at one end and a tv point at the opposite end the room is carpeted and features a combination of vertical and horizontal surfaces creating a sense of visual balance the window is doubleglazed and receives natural light from the streetfacing elevation,0.18811881188118812,1.4137931034482758,447537.4123,0,1,1,0,0,0
"[""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 208, ""Other/Custom"": 98}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 233, ""Other/Custom"": 209}}","{""other"": {""Kitchen"": 1, ""Other/Custom"": 2}}","[1, 0]",0.32771961766044605,0.05546875,0.07919152693557582,-0.07774937700487455,a welcoming façade sets the tone for this smalltomedium residential dwelling in bolton the propertys organised internal layout allows easy navigation between its sleeping and bathing spaces a spacious hallway provides ample space for coat storage and leads directly to the kitchen and other main living areas the kitchen features a wellproportioned layout with ample room for appliances and worktops a stylish range cooker is positioned against a wall of windows providing an opportunity for natural light to flood the room builtin units and high cabinets offer ample storage for cooking essentials and utensils the kitchen flows seamlessly into a dining space creating a practical and efficient area for meal preparation and socialising the property presents well with a cohesive aesthetic that ties together its various living spaces neutral tones and understated fixtures create a calm and uncluttered atmosphere allowing residents to easily move between rooms additional features such as a study area and utility room demonstrate the propertys adaptability and functionality providing ample opportunities for residents to tailor their living spaces to suit their needs,-0.24752475247524752,-0.0896551724137931,300708.61242499994,0,0,1,0,1,0
"[""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 217, ""Other/Custom"": 298}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 145, ""Other/Custom"": 215}}","{""other"": {""Kitchen"": 3, ""Other/Custom"": 1}}","[1, 1]",1.8152025489303596,0.0709375,0.3196577951055257,2.0752194231897345,every item in its assigned place contributes to a sense of order and clarity throughout the property a wellproportioned kitchen provides ample workspace with highlevel cupboards on one wall creating a visually appealing line the builtin oven and fourring gas hob occupy one corner while a neat pantry unit sits discreetly at the rear floorlevel cupboards keep essentials within easy reach while a large lshaped worktop accommodates a wide range of kitchenware a dedicated room has been created from what was once a smaller space offering a quiet retreat sliding doors have been installed to separate the area and a compact lowmaintenance bookshelf takes advantage of the adjacent wall space a large window permits natural light to filter in and illuminates the space the overall presentation of the property is wellconsidered with each space clearly defined and functional this balance between function and form allows for seamless movement throughout the property creating a sense of harmony and coherence,-0.24752475247524752,-0.0896551724137931,615294.4011499999,0,0,1,0,1,0
"[""Bathroom"", ""Kitchen""]",0,1,"{""bedrooms"": [], ""bathrooms"": [103], ""other"": {""Kitchen"": 283}}","{""bedrooms"": [], ""bathrooms"": [116], ""other"": {""Kitchen"": 131}}","{""bathrooms"": [2], ""other"": {""Kitchen"": 2}}","[0, 0]",0.06918525261720528,0.0415625,-0.1543321143453491,0.2917540222613822,the interior is arranged in a clear and functional manner with each space visually connected through the use of a consistent colour scheme and carefully chosen decorative pieces the layout of the ground floor is wellsuited to everyday living with the living area positioned adjacent to a kitchen equipped with a range of modern appliances and a selection of cupboard space the kitchens layout allows for efficient food preparation and presentation with a central work surface and ample storage for kitchen utensils and supplies the bathroom located on the first floor has been updated to include a walkin shower and a lowlevel wc providing a convenient and comfortable space for personal hygiene the overall presentation of the property is wellmaintained and tidy with each room carefully considered to create a sense of calm and order,0.2623762376237624,0.7103448275862069,382920.4989662539,1,0,1,0,0,0
"[""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 230}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 328}}","{""other"": {""Living room"": 2}}",[0],0.3513882567137005,0.0525,-0.5142862712667409,0.010319393393050802,a sense of compactness defines the overall atmosphere of this home the living room benefits from a large window at the front that allows a consistent flow of daylight throughout the day the rooms layout is straightforward with a dedicated space for a sofa and a compact dining area situated near the kitchen the walls are painted a neutral colour and a wooden flooring provides a hard durable surface the rooms overall proportions are wellbalanced creating a practical space for everyday use the kitchen is situated adjacent to the living room and is fitted with a range of midsized units in a lightcoloured finish the worktops are made of a smooth easytoclean material and the sink is positioned under a window allowing good natural light to illuminate the space the kitchens layout is focused on efficiency with a prominent work area and adequate storage solutions the homes overall presentation is tidy and wellorganised with each room clearly defined and practical in use the floors are clean the walls are painted in a consistent colour and the furniture is positioned in a way that creates a clear sense of spatial flow the homes readiness for occupation is evident in its wellmaintained condition creating a pleasant and uncluttered space for everyday living,-0.24752475247524752,-0.0896551724137931,293641.02295,0,0,0,1,0,0
"[""Bathroom"", ""Kitchen""]",0,1,"{""bedrooms"": [], ""bathrooms"": [48], ""other"": {""Kitchen"": 125}}","{""bedrooms"": [], ""bathrooms"": [38], ""other"": {""Kitchen"": 250}}","{""bathrooms"": [3], ""other"": {""Kitchen"": 1}}","[1, 0]",0.11834319526627218,0.046875,0.0958780176622812,0.0022041617005526012,the proportions of the rooms unfold as you step inside creating a clear sense of fluidity that subtly directs your movement the flooring seamlessly transitions between different areas while a neutral colour palette provides a harmonious backdrop the openplan living space flows effortlessly into the adjacent dining area bridging the gap between everyday life and leisure walls painted in a soothing cream hue add a touch of warmth complemented by wooden trim that subtly frames the space the kitchen stands out as a haven for culinary enthusiasts boasting sleek lowlevel units in a rich dark finish that adds depth to the room the arrangement of workstations appliances and storage creates a sense of balance with carefully considered spatial relationships that facilitate easy movement and a seamless workflow behind the kitchen a window casts a warm natural light onto the adjacent surfaces subtly illuminating the space and creating a welcoming atmosphere the residence maintains a cohesive visual narrative through the strategic use of texture and form as different elements blend harmoniously to create a visually appealing whole a wellbalanced mix of furniture and décor subtly directs the viewers gaze drawing attention to key features while fostering a sense of calm the overall presentation of the home is polished and refined inviting exploration and contemplation,-0.009900990099009901,0.1724137931034483,325208.8383436695,1,0,1,0,0,0
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 270}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 70}}","{""other"": {""Kitchen"": 1}}",[0],-1.4820209376422395,0.02578125,-0.5343062934365919,-1.0275385450954189,accommodation is arranged around an openplan living area that flows seamlessly into the adjacent dining space and subsequently into the kitchen the kitchen features a smooth creamhued work surface and a glossy wallmounted cabinet above a matching ceramic sink unit a contrasting dark grey countertop provides a useful additional workspace and completes the space with two tall rectangular storage units the overall visual balance is maintained by the strategic placement of a few carefully selected kitchen utensils general living areas appear wellpresented and benefit from a thoughtful internal layout that optimises available space entry points and doorways facilitate a clear circulation route and the overall presentation suggests a property wellsuited to the demands of modern living,-0.24752475247524752,-0.0896551724137931,152066.35205000002,0,0,1,0,0,0
"[""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other/Custom"": 274}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other/Custom"": 36}}","{""other"": {""Other/Custom"": 1}}",[0],1.6112881201638598,0.06015625,-0.3329980335088637,2.6989220016504563,a clear and considered approach to interior design is evident in the way the rooms within this trafford property are thoughtfully arranged to promote a sense of flow moving through the house youll notice that the openplan kitchen and dining area takes full advantage of the natural light that pours in through the windows casting a warm glow over the space the kitchen itself features a wellproportioned layout with ample space for a breakfast bar and a compact dining table that comfortably seats four beyond the kitchen a spacious living room with a builtin wardrobe provides ample space for relaxation and the subtle neutral tones used on the walls and flooring create a calm and understated atmosphere a short walk from the living room youll find a wellappointed bathroom that features a sleek white suite along with a window that brings in a welcome source of natural light the bathrooms compact size is cleverly utilised with a builtin storage unit providing a convenient place to stash toiletries and other bathroom essentials the overall presentation of the property is one of careful attention to detail and a commitment to making the most of the available space,-0.24752475247524752,-0.0896551724137931,671755.79625,0,0,0,0,1,0
"[""Living room"", ""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 420, ""Kitchen"": 122}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 178, ""Kitchen"": 149}}","{""other"": {""Living room"": 2, ""Kitchen"": 3}}","[1, 1]",0.6536185707783341,0.05875,0.21928327669719352,0.47009030519486567,a soothing tone is set from the outset with the gentle warmth of morning sunlight filtering through the frontfacing windows casting a calm glow over the quiet street the accommodation is carefully arranged to facilitate a smooth daily routine with a wellproportioned hallway that serves as a gentle transition between the sleeping quarters and the main living spaces a slim wooden staircase topped with a classic balustrade leads up to a compact loft space housing the main bedroom downstairs a comfortable reception room features a central fireplace which is flanked by builtin storage units and a large multipaned window that provides a serene view of the surrounding streets,-0.24752475247524752,-0.0896551724137931,383281.39744999993,0,0,1,1,0,0
"[""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 333}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 135}}","{""other"": {""Living room"": 2}}",[0],0.2002730996813837,0.0534375,-0.6053231679733173,0.010525991496305794,a logical layout and open plan living area create a sense of order throughout the home the living room features a large window at the front of the property providing a natural view of the surrounding area the wallmounted tv is situated above a wooden fireplace creating a clear visual focus a fitted bookcase to one side of the room offers ample storage for books and decorative items a contemporary sofa and armchair are placed in a comfortable seating arrangement a short hallway leads from the living room to the sleeping areas and a central wc the wc is equipped with a lowlevel wc and a pushbutton wash basin,-0.24752475247524752,-0.0896551724137931,291851.38395,0,0,0,1,0,0
"[""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 182}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 240}}","{""other"": {""Living room"": 3}}",[1],-0.27309968138370505,0.046875,-0.5881646830284998,0.4047173548808366,the ground floor living area opens seamlessly into the kitchen and dining spaces creating a smooth flow of activity a window above the sink in the kitchen provides additional natural light to the room a convenient builtin shelf above the cooker and ample cupboard space in the kitchen make food preparation and storage straightforward the improved living room features a modern electric fire and a flatscreen television mounted on the wall the rooms proportions are wellbalanced allowing for comfortable furniture arrangement and free movement around the space original wooden floorboards have been kept and provide a warm neutral tone to the room the overall coherence of the property is wellmaintained with clean lines minimal clutter and consistent colour schemes contributing to a wellpresented and readyforoccupation atmosphere,-0.24752475247524752,-0.0896551724137931,347601.7026,0,0,0,1,0,0
"[""Full renovation""]",4,1,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": 1737}}","{""bedrooms"": [0, 0, 0, 0], ""bathrooms"": [0], ""other"": {""Full renovation"": 529}}","{""other"": {""Full renovation"": 1}}",[1],1.5020482476103778,0.0709375,3.148109001918499,2.026712225428211,the groundfloor living space flows into the kitchen and dining area which is separated by a brick archway and has a large window at its rear the kitchen is updated with a modern fitted cabinet and worktop stainless steel sink and an electric oven a tall pantry cabinet stands against one wall while a freestanding microwave occupies a corner the kitchen table stands at its centre the house is presented well throughout with a clear distinction between the living and sleeping areas the master bedroom is located at the front with a builtin wardrobe and a window overlooking the street the bathroom is situated behind the kitchen and has a large walkin shower with a flatscreen showerhead ceramic sink and lowlevel toilet,-0.24752475247524752,-0.0896551724137931,661025.06795,0,0,0,0,0,1
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 274}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 14}}","{""other"": {""Kitchen"": 1}}",[1],-0.4078288575329995,0.05546875,-0.51231800416328,-0.4533687348397729,the living room flows directly into the dining area creating a sense of continuity between spaces windows on the north and east sides allow limited morning sunlight into the room casting a gentle soft glow a wooden floor underlies the area maintaining a consistent tone throughout the space the kitchen has a neutral colour palette complemented by a minimalist style of cabinetry and worktops flooring of matching material continues into the adjacent spaces a sleek stainless steel sink sits atop a countertop of smooth matte finish overall the interior presents a cohesive atmosphere thanks to the alignment of interior features and consistent colour scheme throughout the living dining and kitchen areas,-0.24752475247524752,-0.0896551724137931,234965.60479999994,0,0,1,0,0,0
