renovation_type,bedrooms_to_reno,bathrooms_to_reno,sqft_renovated,sqft_to_add,material_grade,structural_changes,property_size,renovation_cost,pre_renovation_cost,post_renovation_value,location
"[""Bedroom"", ""Bathroom"", ""Living room""]",3,2,1375,473.0,mid-range,1,1805,245812.62,451466.06,535551.613675,589379.4798394532
"[""Living room"", ""Other/Custom""]",0,0,549,0.0,budget-friendly,0,1161,51547.28,398610.65,420440.59835,518778.0673718569
"[""Bedroom"", ""Bathroom"", ""Living room""]",4,2,1844,774.0,budget-friendly,1,2146,276193.13,446124.6,527860.9999285714,473663.46079924994
"[""Bedroom"", ""Living room""]",1,0,326,265.1682242990654,high-end,1,855,49142.77,245625.51,265158.435975,420882.7322267811
"[""Bedroom"", ""Bathroom"", ""Living room""]",6,3,2516,795.0,mid-range,1,3673,407600.2,717519.85,851516.6819874999,764615.9502687944
"[""Living room"", ""Kitchen""]",0,0,555,0.0,mid-range,0,1304,56007.3,345947.36,379157.29069999995,891671.9944522413
"[""Living room"", ""Kitchen""]",0,0,739,602.0,budget-friendly,1,6247,85368.34,2286219.8,2414710.1929999995,2500823.911981166
"[""Bedroom"", ""Bathroom"", ""Living room""]",7,4,2798,1096.0,mid-range,1,3214,490265.28,931596.51,1105688.6078062502,926886.3923402497
"[""Bedroom"", ""Bathroom"", ""Living room""]",2,1,872,295.97902097902096,high-end,1,1369,122422.52,202859.4,242036.621625,337972.4055670806
"[""Full renovation""]",3,2,2113,0.0,high-end,0,2113,246636.53,552684.9,658945.7754,589670.1151351548
"[""Bedroom"", ""Bathroom"", ""Living room""]",3,2,1420,0.0,mid-range,0,1649,235420.91,327415.26,388805.62125,456784.7012993054
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",2,1,0,0.0,mid-range,0,1076,101763.31,271281.72,319614.06584999996,422600.3971445641
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,1054,301.0,mid-range,1,2305,139919.53,357039.25,417880.26585,329482.05229326704
"[""Kitchen"", ""Other/Custom""]",0,0,377,0.0,budget-friendly,0,1007,46329.46,250080.22,275232.6679,259110.37473145
"[""Bathroom"", ""Living room""]",0,1,476,0.0,high-end,0,3404,84980.28,682582.05,730465.6518000001,764615.9502687944
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,499,116.06542056074767,mid-range,1,809,74762.01,216620.57,249918.5288,422600.3971445641
"[""Living room"", ""Kitchen""]",0,0,724,301.0,high-end,1,2198,91337.45,549097.89,603263.622675,857843.3948752978
"[""Bathroom"", ""Other/Custom""]",0,1,441,151.0,mid-range,1,4140,89044.06,751982.02,802590.3594999999,748201.1019928089
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",2,1,837,398.1212121212121,mid-range,1,1325,106768.46,379422.9,424037.27017500007,918049.8174818624
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",3,1,1310,322.0,mid-range,1,1822,205417.44,386491.99,458959.238125,453214.30405612406
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,1113,301.0,mid-range,1,4186,121885.02,1176602.74,1267334.2195,926886.3923402497
"[""Bathroom"", ""Other/Custom""]",0,1,564,0.0,budget-friendly,0,1703,69455.5,557863.02,595435.5606,517533.77259986603
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,533,0.0,mid-range,0,926,70032.93,219596.41,251188.45674999998,257189.58842055334
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",2,1,612,0.0,budget-friendly,0,1020,88932.87,302738.81,347582.99960000004,360382.72442315845
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",1,1,286,55.254641909814325,budget-friendly,1,420,62742.9,140724.54,167990.8824,551406.6991672434
"[""Kitchen"", ""Other/Custom""]",0,0,557,0.0,budget-friendly,0,1265,52229.149999999994,205121.57,230412.50427499998,329482.05229326704
"[""Bathroom"", ""Living room""]",0,1,566,0.0,budget-friendly,0,2274,74625.91,568225.53,608219.7632250001,857843.3948752978
"[""Living room"", ""Kitchen""]",0,0,374,0.0,mid-range,0,985,45745.39,252524.12,278297.50325,259110.37473145
"[""Bathroom"", ""Other/Custom""]",0,1,431,151.0,high-end,1,1739,95860.43,566445.37,615072.673,549128.4854811856
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",3,2,1464,473.0,budget-friendly,1,2126,238314.11,401564.05,487398.36568750005,438354.1998740959
"[""Living room"", ""Other/Custom""]",0,0,356,0.0,mid-range,0,883,47331.94,219481.09,237682.86745,257189.58842055334
"[""Bedroom"", ""Bathroom"", ""Living room""]",9,4,3425,1267.0,mid-range,1,4906,569886.56,1198929.52,1411969.3010285716,891671.9944522413
"[""Bathroom"", ""Kitchen""]",0,1,514,0.0,budget-friendly,0,3769,74134.98,490619.21,542852.86895,584356.9210885423
"[""Full renovation""]",3,1,2090,0.0,high-end,0,2090,212433.92,421354.25,509838.64249999996,441299.58650862484
"[""Full renovation""]",3,1,1923,0.0,mid-range,0,1923,195860.45,648499.74,739378.2700499999,467907.5515662078
"[""Bathroom"", ""Kitchen""]",0,1,371,0.0,mid-range,0,1286,58593.600000000006,446461.57,491706.24820000003,562615.8913025274
"[""Bedroom"", ""Bathroom"", ""Living room""]",7,5,2902,604.0,mid-range,1,3713,541664.7400000001,488978.7,580944.3093461539,584356.9210885423
"[""Kitchen"", ""Other/Custom""]",0,0,357,134.1214953271028,mid-range,1,947,45953.48,328759.22,358028.7310999999,551406.6991672434
"[""Bedroom"", ""Bathroom"", ""Living room""]",3,2,1489,322.0,high-end,1,1793,261794.69,521274.44,620968.1766499999,729059.2861618154
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,841,183.57342657342656,mid-range,1,1293,82604.25,408718.44,452718.08729999996,470718.2613586728
"[""Bedroom"", ""Bathroom"", ""Living room""]",1,1,409,188.5202492211838,mid-range,1,825,65922.19,294245.39,323508.63060000003,550897.0231795768
"[""Bedroom"", ""Bathroom"", ""Living room""]",5,2,2011,624.0,high-end,1,3304,367690.18000000005,625597.6,746416.1365,748201.1019928089
"[""Bedroom"", ""Living room""]",2,0,537,0.0,mid-range,0,1059,79670.37,312115.92,342292.1772,362201.48039049795
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",2,1,1059,0.0,budget-friendly,0,1635,149147.28,534215.88,596105.145,514826.1349765647
"[""Bathroom"", ""Kitchen""]",0,1,357,173.5874125874126,high-end,1,1225,70697.75,390439.81,437196.4561,514826.1349765647
"[""Living room"", ""Other/Custom""]",0,0,700,0.0,high-end,0,2267,78700.75,737596.76,774041.703275,474032.3731833224
"[""Bathroom"", ""Other/Custom""]",0,1,442,0.0,budget-friendly,0,1633,74625.91,525921.1,564646.200325,512787.1344803147
"[""Living room"", ""Kitchen""]",0,0,758,301.0,budget-friendly,1,2404,82520.31,593262.46,645334.2660249999,884761.8567269483
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,1156,301.0,mid-range,1,6626,127876.83,2241960.98,2383769.8096999996,2504340.910944834
"[""Full renovation""]",10,6,6079,0.0,high-end,0,6079,626047.6799999999,2170103.82,2474354.2262999997,2511284.4665295603
"[""Living room"", ""Kitchen""]",0,0,564,181.8111888111888,mid-range,1,1281,58988.11,354668.13,389209.4505,421138.5496460387
"[""Bathroom"", ""Kitchen""]",0,1,434,151.0,budget-friendly,1,2297,72383.6,351070.53,393849.84180000005,333612.3852677651
"[""Bathroom"", ""Living room""]",0,1,538,301.0,budget-friendly,1,2776,76983.01,831742.22,879789.3895999999,722057.5300960252
"[""Bedroom"", ""Bathroom""]",2,1,508,0.0,mid-range,0,1202,84324.23000000001,378692.98,417037.5229999999,512787.1344803147
"[""Bedroom"", ""Bathroom""]",7,5,2732,795.0,mid-range,1,3514,507742.91,666122.33,792269.24624375,742739.9151843397
"[""Bedroom"", ""Kitchen""]",5,0,1707,322.0,high-end,1,2688,256329.81,382753.38,461696.26462499995,339023.3062412534
"[""Living room"", ""Kitchen""]",0,0,768,0.0,mid-range,0,2243,85099.95999999999,447741.61,494696.46984999994,442581.28692691075
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,1158,301.0,mid-range,1,2048,128409.06,539783.81,604522.93535,473835.47798471845
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",3,2,1447,774.0,mid-range,1,1785,248424.22000000003,357435.6,423561.186,442581.28692691075
"[""Bathroom"", ""Other/Custom""]",0,1,406,212.5034965034965,mid-range,1,1490,56417.81,497516.93,530214.04805,517533.77259986603
"[""Bedroom"", ""Living room""]",2,0,751,180.34265734265733,mid-range,1,1271,83964.38,252162.89,281974.29115,456784.7012993054
"[""Living room"", ""Kitchen""]",0,0,761,0.0,high-end,0,3824,90522.38,1131987.56,1212799.3856,910855.3220634278
"[""Full renovation""]",6,3,3093,0.0,mid-range,0,3093,368015.72,735303.89,884202.927725,898392.8709650495
"[""Kitchen"", ""Other/Custom""]",0,0,768,0.0,mid-range,0,1737,79200.85,265981.36,302898.78894999996,329482.05229326704
"[""Bedroom"", ""Living room""]",7,0,2349,322.0,mid-range,1,3696,331943.13000000006,760687.09,878526.6624062499,764615.9502687944
"[""Bathroom"", ""Kitchen""]",0,1,489,301.0,high-end,1,3287,107339.48,602630.92,674210.8036000001,742739.9151843397
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",2,1,820,0.0,budget-friendly,0,1086,97306.88,272756.85,319044.12659999996,611135.9710193529
"[""Living room"", ""Other/Custom""]",0,0,596,401.5104895104895,budget-friendly,1,1410,55468.94,516027.81,540824.9262,551406.6991672434
"[""Bedroom"", ""Bathroom""]",3,1,943,0.0,mid-range,0,1848,162470.33000000002,470792.45,536094.37745,590999.7312847051
"[""Living room"", ""Other/Custom""]",0,0,583,0.0,budget-friendly,0,1436,51547.28,234232.96,253597.24299999996,337972.4055670806
"[""Kitchen"", ""Other/Custom""]",0,0,666,0.0,budget-friendly,0,1571,52227.02,533073.62,573121.74155,512787.1344803147
"[""Living room"", ""Other/Custom""]",0,0,715,301.0,mid-range,1,7447,83574.26,2579643.79,2644664.33875,2500823.911981166
"[""Kitchen"", ""Other/Custom""]",0,0,798,602.0,mid-range,1,2196,96353.97,419154.69,468368.1516,440857.28859962634
"[""Bedroom"", ""Kitchen""]",5,0,1752,644.0,mid-range,1,3070,267632.5,810353.23,932461.5253499999,593131.0463311035
"[""Bedroom"", ""Bathroom"", ""Living room""]",6,4,2492,473.0,mid-range,1,2854,457699.50000000006,536604.01,638314.8609863636,633749.447976567
"[""Bedroom"", ""Other/Custom""]",2,0,517,156.42990654205607,high-end,1,957,81626.07,282266.05,313436.64385,362201.48039049795
"[""Bedroom"", ""Bathroom""]",2,1,426,168.46728971962617,budget-friendly,1,1049,68168.12,269343.48,298215.061,257189.58842055334
"[""Kitchen"", ""Other/Custom""]",0,0,666,0.0,high-end,0,2564,82432.47,498511.72,547529.218975,634424.3807046467
"[""Bedroom"", ""Kitchen""]",4,0,1517,644.0,mid-range,1,2184,213323.2,578037.86,670606.4021,589379.4798394532
"[""Living room"", ""Other/Custom""]",0,0,715,301.0,high-end,1,3090,90665.94,925248.04,968366.5262499999,910626.421425757
"[""Bathroom"", ""Living room""]",0,1,453,0.0,budget-friendly,0,3282,69455.5,693594.82,735239.3146,770940.0264432136
"[""Kitchen"", ""Other/Custom""]",0,0,747,301.0,high-end,1,1747,95280.18,582552.62,640209.9473,467907.5515662078
"[""Bedroom"", ""Bathroom""]",4,3,1566,473.0,mid-range,1,2573,284995.49,475491.22,564136.3688714285,748201.1019928089
"[""Bathroom"", ""Other/Custom""]",0,1,561,0.0,budget-friendly,0,2539,69455.5,496071.78,531790.5834,749690.1337423729
"[""Bedroom"", ""Other/Custom""]",2,0,728,0.0,mid-range,0,1123,78131.43,314068.39,343000.15914999996,468125.1879910406
"[""Bedroom"", ""Living room""]",6,0,2203,644.0,mid-range,1,3713,294661.41,471872.5,553776.0839285714,584356.9210885423
"[""Bedroom"", ""Other/Custom""]",2,0,848,322.0,mid-range,1,1658,127879.35,445574.19,492539.79809999996,421138.5496460387
"[""Living room"", ""Other/Custom""]",0,0,768,0.0,budget-friendly,0,4174,70313.32,995275.6,1031298.73,857843.3948752978
"[""Bedroom"", ""Living room""]",3,0,1208,623.0,mid-range,1,2268,174583.65000000002,440075.38,501670.3604499999,442581.28692691075
"[""Bedroom"", ""Bathroom"", ""Living room""]",3,1,1369,301.0,mid-range,1,2044,210237.45,642470.75,729231.09395,549548.3606077654
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",1,1,389,261.76635514018693,mid-range,1,842,73812.01,281578.94,321724.45955,474032.3731833224
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",3,1,1363,0.0,mid-range,0,1721,195959.2,566434.44,662147.6543999999,515996.1562416109
"[""Bedroom"", ""Bathroom""]",1,1,227,216.85981308411215,budget-friendly,1,863,43400.95,250882.77,271755.045225,421138.5496460387
"[""Bathroom"", ""Kitchen""]",0,1,434,301.0,mid-range,1,3469,87711.9,662572.52,729956.1197,770940.0264432136
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",10,6,3911,795.0,mid-range,1,6007,701540.58,2066897.11,2352365.3315764708,2505340.7489834023
"[""Living room"", ""Other/Custom""]",0,0,396,0.0,high-end,0,1056,54916.58,354543.96,377984.59079999995,491813.312765633
"[""Bedroom"", ""Bathroom""]",4,3,1607,473.0,mid-range,1,2610,311952.0,729931.32,852099.5453142858,715063.674403916
"[""Bathroom"", ""Other/Custom""]",0,1,570,0.0,mid-range,0,5037,77393.64,1234442.12,1295854.3802000002,864290.96920644
"[""Full renovation""]",1,1,711,0.0,high-end,0,711,95686.36,190771.7,230833.757,422600.3971445641
"[""Bedroom"", ""Living room""]",6,0,2050,966.0,mid-range,1,3209,302968.43,602858.06,707496.9947,749690.1337423729
"[""Bathroom"", ""Living room""]",0,1,582,301.0,high-end,1,4248,93821.1,792769.93,846810.3326500001,748201.1019928089
"[""Bedroom"", ""Kitchen""]",1,0,250,100.35809018567639,mid-range,1,620,52248.82,219612.55,245953.49304999996,470718.2613586728
"[""Kitchen"", ""Other/Custom""]",0,0,763,301.0,budget-friendly,1,2690,82048.88,783287.04,843764.9874,724209.6059686558
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",5,4,2344,795.0,mid-range,1,3000,420713.29,755801.29,920754.9215425,599125.9764701508
"[""Bathroom"", ""Other/Custom""]",0,1,471,0.0,budget-friendly,0,1619,75084.43,322264.15,355020.536725,442311.88738048566
"[""Bedroom"", ""Bathroom"", ""Living room""]",3,1,1410,151.0,mid-range,1,2068,197546.03000000003,555700.47,634005.84546,590999.7312847051
"[""Bedroom"", ""Other/Custom""]",1,0,365,109.5233644859813,budget-friendly,1,759,44557.96,173209.9,189509.62119999997,473663.46079924994
"[""Kitchen"", ""Other/Custom""]",0,0,394,0.0,budget-friendly,0,1035,46329.46,161494.78,182660.8831,337972.4055670806
"[""Bathroom"", ""Other/Custom""]",0,1,454,0.0,high-end,0,3144,88211.9,627463.48,675397.3114,633749.447976567
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",2,1,598,0.0,budget-friendly,0,983,85582.87,315707.56,360645.8103625,362201.48039049795
"[""Bedroom"", ""Bathroom""]",2,1,525,0.0,high-end,0,1175,94618.86,356247.2,398158.8398000001,518778.0673718569
"[""Bedroom"", ""Bathroom""]",2,1,580,227.15384615384616,mid-range,1,1441,86738.47,391747.13,430822.16195000004,471878.99087377987
"[""Bedroom"", ""Other/Custom""]",2,0,723,0.0,budget-friendly,0,1127,77205.42,332914.68,361456.05329999997,361017.265710204
"[""Bedroom"", ""Living room""]",3,0,1217,322.0,budget-friendly,1,1996,153438.51,652411.32,709379.831625,549548.3606077654
"[""Bedroom"", ""Bathroom""]",2,1,557,300.6177156177156,mid-range,1,1283,85737.36,414574.45,454018.95190000004,474032.3731833224
"[""Kitchen"", ""Other/Custom""]",0,0,593,166.6853146853147,mid-range,1,1178,63962.94,393477.48,431332.29269999993,518778.0673718569
"[""Bedroom"", ""Kitchen""]",5,0,1813,945.0,mid-range,1,2450,259165.29999999996,370658.02,445716.26905,334674.9581336589
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,1265,301.0,mid-range,1,2015,124249.14,640240.64,708189.9479,491813.312765633
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",8,5,3391,473.0,mid-range,1,4090,563383.8900000001,737052.57,896571.804792857,749690.1337423729
"[""Kitchen"", ""Other/Custom""]",0,0,553,189.74125874125875,budget-friendly,1,1335,53018.96,474626.24,511890.1087999999,467907.5515662078
"[""Bedroom"", ""Kitchen""]",4,0,1482,322.0,mid-range,1,2266,209260.25,455422.03,541205.21935,438354.1998740959
"[""Bedroom"", ""Other/Custom""]",6,0,1962,0.0,mid-range,0,3561,286265.27999999997,824118.28,928493.8942,864290.96920644
"[""Bathroom"", ""Living room""]",0,1,551,151.0,high-end,1,3282,93252.11,802217.83,856358.1703749999,898392.8709650495
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",6,4,2611,946.0,mid-range,1,3079,454273.04,616022.45,730266.6134545455,768381.9144879236
"[""Bathroom"", ""Other/Custom""]",0,1,488,452.0,mid-range,1,3292,95948.27,597998.42,646162.07765,634424.3807046467
"[""Bedroom"", ""Bathroom"", ""Other/Custom""]",4,2,1630,322.0,mid-range,1,2538,276684.72000000003,717942.73,825450.9070428571,729059.2861618154
"[""Kitchen"", ""Other/Custom""]",0,0,541,0.0,high-end,0,1083,51761.130000000005,356003.2,388716.308425,362556.9047908152
"[""Full renovation""]",3,1,1986,0.0,mid-range,0,1986,195860.45,511994.61,596730.4092,422600.3971445641
"[""Bedroom"", ""Bathroom"", ""Living room""]",7,3,2700,473.0,mid-range,1,3634,458079.85,696406.2,827932.0073181818,764427.3883938657
"[""Bedroom"", ""Living room""]",3,0,1256,0.0,mid-range,0,2272,150708.49,713157.48,770762.8597124999,562615.8913025274
"[""Bathroom"", ""Kitchen""]",0,1,452,0.0,budget-friendly,0,7332,73678.36,2525026.93,2699184.6415000004,2500823.911981166
"[""Full renovation""]",3,1,2130,0.0,budget-friendly,0,2130,193022.69,545707.44,628171.0817999998,588676.7985449556
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,847,192.97202797202797,mid-range,1,1357,91588.93,211175.23,249986.57295,329482.05229326704
"[""Bathroom"", ""Other/Custom""]",0,1,380,0.0,budget-friendly,0,1289,50382.78,448070.56,477005.38165000005,517533.77259986603
"[""Bedroom"", ""Bathroom""]",1,1,182,0.0,high-end,0,467,52731.83,155962.56,178042.9407,491813.312765633
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",6,4,2466,795.0,mid-range,1,2995,454673.23,842354.33,1025566.3967749999,715063.674403916
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,1222,301.0,mid-range,1,1856,123653.26,357747.29,412178.42864999996,438354.1998740959
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",2,1,852,98.6993006993007,high-end,1,1317,123763.84,354021.88,415641.1456,468125.1879910406
"[""Bathroom"", ""Kitchen""]",0,1,490,301.0,high-end,1,1812,107267.09,479908.49,544101.1391,473835.47798471845
"[""Living room"", ""Kitchen""]",0,0,788,301.0,budget-friendly,1,2138,81065.49,400360.31,442696.17094999994,442311.88738048566
"[""Kitchen"", ""Other/Custom""]",0,0,772,0.0,budget-friendly,0,3161,74992.8,625437.87,676642.86015,632017.9335746003
"[""Bedroom"", ""Living room""]",1,0,259,106.91644562334218,budget-friendly,1,735,43476.56,228638.16,245110.70039999997,421138.5496460387
"[""Bedroom"", ""Other/Custom""]",10,0,3237,966.0,mid-range,1,6392,456057.1400000001,2325291.64,2505072.8059,2504340.910944834
"[""Bedroom"", ""Bathroom""]",2,1,552,0.0,mid-range,0,1338,86487.88,351527.58,389749.52900000004,473835.47798471845
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,577,0.0,high-end,0,905,79342.25,244852.26,281656.84294999996,476497.9429147776
"[""Bedroom"", ""Bathroom"", ""Living room""]",3,1,1280,151.0,mid-range,1,1679,202930.14,471876.78,549347.28708,724209.6059686558
"[""Bedroom"", ""Bathroom"", ""Living room""]",9,5,3596,1439.0,mid-range,1,4196,627440.35,790018.58,938147.06375,749690.1337423729
"[""Living room"", ""Kitchen""]",0,0,631,0.0,high-end,0,1626,91581.68,488998.09,541224.95845,722057.5300960252
"[""Bathroom"", ""Living room""]",0,1,399,91.6993006993007,high-end,1,1174,58273.66,398043.01,428777.55565000005,517533.77259986603
"[""Bedroom"", ""Kitchen""]",4,0,1560,322.0,high-end,1,2530,225942.75,370530.26,447785.81921,333612.3852677651
"[""Living room"", ""Other/Custom""]",0,0,808,0.0,budget-friendly,0,3657,70313.32,466454.24,494545.04959999997,584499.0331593506
"[""Living room"", ""Other/Custom""]",0,0,372,0.0,budget-friendly,0,984,44478.77,257811.77,275356.168325,259451.67101114738
"[""Bedroom"", ""Kitchen""]",7,0,2312,644.0,mid-range,1,3506,326638.0,676764.23,809497.1440999999,764615.9502687944
"[""Bathroom"", ""Living room""]",0,1,531,0.0,mid-range,0,3745,78833.95999999999,515292.76,555584.2402,585322.9444696801
"[""Bathroom"", ""Other/Custom""]",0,1,467,0.0,high-end,0,2722,85514.08,537583.32,581289.1103999999,748385.3759477742
"[""Kitchen"", ""Other/Custom""]",0,0,821,0.0,mid-range,0,2214,85099.95999999999,425608.9,471567.7879,441299.58650862484
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,983,602.0,mid-range,1,2195,134700.54,449271.67,511919.56525,455750.6403917306
"[""Living room"", ""Kitchen""]",0,0,748,0.0,high-end,0,3944,87851.59,509313.17,560564.400425,584499.0331593506
"[""Full renovation""]",3,2,1548,0.0,budget-friendly,0,1548,168533.15999999997,513447.68,587112.7736,514826.1349765647
"[""Living room"", ""Kitchen""]",0,0,653,0.0,budget-friendly,0,3726,74992.8,701771.19,756411.1795499999,770940.0264432136
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,552,137.52336448598132,high-end,1,973,79550.34,219948.5,255700.043,259451.67101114738
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",8,5,3357,1418.0,mid-range,1,4093,592939.9500000001,1023136.73,1245668.968775,864290.96920644
"[""Full renovation""]",7,4,4198,0.0,high-end,0,4198,453375.15,1272785.63,1479674.7828499998,918049.8174818624
"[""Bedroom"", ""Kitchen""]",10,0,3269,966.0,mid-range,1,6255,426060.62000000005,2164005.58,2392689.9676272725,2492746.2538584336
"[""Bedroom"", ""Other/Custom""]",1,0,465,325.8881118881119,high-end,1,1081,54807.41,165162.86,185315.69262499997,337972.4055670806
"[""Bathroom"", ""Kitchen""]",0,1,469,151.0,high-end,1,2043,91147.75,671635.99,741329.2987749999,467907.5515662078
"[""Bedroom"", ""Other/Custom""]",5,0,1804,644.0,mid-range,1,2643,243908.24,799048.3,886645.5789000001,718133.5629715051
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",5,4,2273,151.0,mid-range,1,2860,422294.69000000006,741172.77,904045.4862075001,599125.9764701508
"[""Bathroom"", ""Other/Custom""]",0,1,472,301.0,mid-range,1,2396,85600.07,737913.85,787015.28755,924298.1851105052
"[""Living room"", ""Kitchen""]",0,0,689,0.0,budget-friendly,0,1962,73874.43,505192.89,550088.89905,590999.7312847051
"[""Bedroom"", ""Bathroom"", ""Living room""]",6,4,2570,322.0,mid-range,1,3439,437611.3299999999,1011246.93,1180028.6495727273,918049.8174818624
"[""Bathroom"", ""Other/Custom""]",0,1,278,0.0,budget-friendly,0,991,43633.92999999999,363626.51,387952.738775,474032.3731833224
"[""Bathroom"", ""Kitchen""]",0,1,454,0.0,high-end,0,3253,93541.62,650159.09,720037.37,768381.9144879236
"[""Kitchen"", ""Other/Custom""]",0,0,645,0.0,budget-friendly,0,6746,73577.98,2387705.21,2517777.1732999994,2505340.7489834023
"[""Bedroom"", ""Kitchen""]",3,0,1010,233.86713286713285,mid-range,1,1486,118619.2,427236.23,483826.9083499999,910626.421425757
"[""Bedroom"", ""Bathroom""]",2,1,708,0.0,mid-range,0,1522,87931.81999999999,452057.91,493757.8297,724209.6059686558
"[""Bedroom"", ""Bathroom"", ""Living room""]",5,2,1949,322.0,mid-range,1,3173,326202.29,576912.03,686164.7456812501,634424.3807046467
"[""Bedroom"", ""Other/Custom""]",5,0,1805,322.0,budget-friendly,1,2937,230613.66,868391.67,952331.2455,715063.674403916
"[""Bedroom"", ""Bathroom"", ""Kitchen""]",7,4,2864,644.0,mid-range,1,3569,502601.91,675558.91,823759.6458812502,748201.1019928089
"[""Living room"", ""Other/Custom""]",0,0,724,0.0,high-end,0,1782,85192.66,353335.64,386749.25239999994,460825.5934515108
"[""Bedroom"", ""Kitchen""]",7,0,2377,966.0,mid-range,1,3579,330809.43000000005,471822.28,566481.624925,584356.9210885423
"[""Bathroom"", ""Living room""]",0,1,562,452.0,mid-range,1,2664,96571.57,749047.17,801938.6296500001,718133.5629715051
"[""Living room"", ""Other/Custom""]",0,0,693,0.0,mid-range,0,2610,78251.46,631909.51,666037.36255,898392.8709650495
"[""Bedroom"", ""Other/Custom""]",5,0,1815,644.0,mid-range,1,3029,254478.94000000003,910015.63,1004462.9279,918049.8174818624
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,385,198.66312997347478,mid-range,1,602,70430.76,190722.35,221490.54514999996,491813.312765633
"[""Bedroom"", ""Bathroom"", ""Living room""]",2,1,770,549.6456876456876,mid-range,1,1194,115166.53,182835.4,217117.0375,333612.3852677651
