Location,extended_rooms,id,location,material_grade,price,property_size,renovation_cost,sqft_renovated,sqft_to_add,structural_changes,type_of_renovation
Trafford,,32,1355070.85,mid-range,675000.0,2174.0,0.0,0.0,0.0,0,
Prestwich,,33,581941.6666666666,budget-friendly,290000.0,811.0,0.0,0.0,0.0,0,
Bolton,,34,856449.75,high-end,980000.0,2979.0,0.0,0.0,0.0,0,
Trafford,,35,1355070.85,mid-range,675000.0,2174.0,0.0,0.0,0.0,0,
Rochdale,,36,756694.75,budget-friendly,210000.0,712.0,22139.51,437.20159151193633,0.0,0,"['bathroom', 'kitchen', 'living room']"
Bury,,37,734499.75,budget-friendly,270000.0,905.0,21754.32,163.2429906542056,0.0,0,['other/custom']
Oldham,,38,623197.5,mid-range,425000.0,1514.0,0.0,0.0,0.0,0,
Didsbury,,39,804750.0,high-end,1050000.0,2141.0,0.0,0.0,0.0,0,
Bury,,40,734499.75,budget-friendly,200000.0,1042.0,0.0,0.0,0.0,0,
Stockport,,41,573999.7,budget-friendly,320000.0,837.0,0.0,0.0,0.0,0,
Altrincham,other/custom,42,1479696.6666666667,high-end,3250000.0,6011.0,42228.01,450.0,301.0,1,['other/custom']
Ashton-under-lyne,other/custom,43,434184.375,mid-range,400000.0,943.0,22752.7,171.41121495327104,133.5981308411215,1,['other/custom']
Stretford,other/custom,44,534538.4615384615,high-end,600000.0,2088.0,42722.16,450.0,301.0,1,['other/custom']
City Centre,other/custom,45,696157.8947368421,budget-friendly,300000.0,747.0,33042.7,747.0,215.20159151193633,1,full renovation
Sale,other/custom,46,699583.3333333334,budget-friendly,590000.0,1671.0,35389.42,450.0,903.0,1,['other/custom']
Levenshulme,"kitchen, other/custom",47,380714.28571428574,budget-friendly,190000.0,771.0,22139.51,298.13084112149534,275.73520249221184,1,"['other/custom', 'kitchen']"
Chorlton,,48,853899.75,high-end,795000.0,2995.0,0.0,0.0,0.0,0,
Altrincham,,49,1479696.6666666667,mid-range,525000.0,1241.0,26163.86,236.5174825174825,0.0,0,['kitchen']
City Centre,"bedroom, other/custom",50,696157.8947368421,high-end,1250000.0,11119.0,42497.12,772.0,924.0,1,"['other/custom', 'bedroom']"
Chorlton,bedroom,51,853899.75,mid-range,725000.0,1660.0,39024.33,322.0,322.0,1,['bedroom']
Stockport,,52,573999.7,high-end,735000.0,2067.0,73802.73,2067.0,0.0,0,full renovation
Stockport,,53,573999.7,budget-friendly,260000.0,740.0,33042.7,740.0,0.0,0,full renovation
Tameside,,54,589700.0,high-end,500000.0,1656.0,52573.45,1302.0,0.0,0,"['kitchen', 'living room', 'bedroom']"
Levenshulme,,55,380714.28571428574,budget-friendly,300000.0,914.0,0.0,0.0,0.0,0,
Didsbury,,56,804750.0,budget-friendly,230000.0,656.0,0.0,0.0,0.0,0,
Trafford,other/custom,57,1355070.85,mid-range,595000.0,1862.0,39024.33,450.0,301.0,1,['other/custom']
Oldham,other/custom,58,623197.5,budget-friendly,229950.0,703.7,22139.51,283.3289124668435,315.39429708222815,1,"['other/custom', 'kitchen']"
Altrincham,,59,1479696.6666666667,high-end,1475000.0,2500.0,52573.45,1302.0,0.0,0,"['kitchen', 'living room', 'bedroom']"
Didsbury,,60,804750.0,high-end,1400000.0,3181.0,0.0,0.0,0.0,0,
Tameside,,61,589700.0,budget-friendly,350000.0,823.0,32913.41,823.0,0.0,0,full renovation
Wigan,,62,404750.0,budget-friendly,275000.0,1074.0,0.0,0.0,0.0,0,
Rochdale,,63,756694.75,high-end,1500000.0,2669.0,0.0,0.0,0.0,0,
Altrincham,,64,1479696.6666666667,high-end,1395000.0,3150.0,52573.45,1302.0,0.0,0,"['kitchen', 'living room', 'bedroom']"
Ashton-under-lyne,,65,434184.375,high-end,580000.0,3111.0,0.0,0.0,0.0,0,
Cheadle,,66,730210.7142857143,high-end,365000.0,1317.0,33963.86,678.3216783216783,0.0,0,"['bathroom', 'living room', 'bedroom']"
Tameside,,67,589700.0,high-end,375000.0,993.0,0.0,0.0,0.0,0,
City Centre,,68,696157.8947368421,high-end,795000.0,1835.0,0.0,0.0,0.0,0,
Sale,,69,699583.3333333334,mid-range,500000.0,1032.0,24209.98,583.4797507788162,0.0,0,"['bathroom', 'kitchen', 'living room']"
