renovation_type,bedrooms_to_reno,bathrooms_to_reno,sqft_renovated,sqft_to_add,material_grade,structural_changes,property_size,location,renovation_cost,pre_renovation_cost
"[""Bedroom""]",2,0,"{""bedrooms"": [120, 185], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [37, 183], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [""Mid-range"", ""Mid-range""], ""bathrooms"": [], ""other"": {}}","[""No"", ""Yes""]",1265,Stockport,54411.78,279565.0
"[""Bathroom"", ""Kitchen""]",0,2,"{""bedrooms"": [], ""bathrooms"": [113, 57], ""other"": {""Kitchen"": 267}}","{""bedrooms"": [], ""bathrooms"": [47, 97], ""other"": {""Kitchen"": 160}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly"", ""Mid-range""], ""other"": {""Kitchen"": ""Budget-friendly""}}","[""Yes"", ""Yes"", ""Yes""]",1423,Stockport,78052.07999999999,277485.0
"[""Bedroom""]",2,0,"{""bedrooms"": [168, 213], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [138, 151], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [""Mid-range"", ""Budget-friendly""], ""bathrooms"": [], ""other"": {}}","[""Yes"", ""No""]",1517,Wigan,53630.8,270784.5
"[""Bedroom"", ""Bathroom"", ""Living room""]",2,1,"{""bedrooms"": [192, 128], ""bathrooms"": [46], ""other"": {""Living room"": 397}}","{""bedrooms"": [144, 86], ""bathrooms"": [11], ""other"": {""Living room"": 180}}","{""bedrooms"": [""High-end"", ""Mid-range""], ""bathrooms"": [""Mid-range""], ""other"": {""Living room"": ""High-end""}}","[""No"", ""Yes"", ""Yes"", ""Yes""]",1332,Oldham,117435.67,199800.0
"[""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 384}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 36}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""High-end""}}","[""No""]",1410,Sale,30130.63,521700.0
"[""Bedroom"", ""Other/Custom""]",1,0,"{""bedrooms"": [213], ""bathrooms"": [], ""other"": {""Other/Custom"": 251}}","{""bedrooms"": [125], ""bathrooms"": [], ""other"": {""Other/Custom"": 198}}","{""bedrooms"": [""Mid-range""], ""bathrooms"": [], ""other"": {""Other/Custom"": ""Budget-friendly""}}","[""Yes"", ""Yes""]",957,Prestwich,46214.28,244035.0
"[""Full renovation""]",2,3,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": 883}}","{""bedrooms"": [0, 0], ""bathrooms"": [0, 0, 0], ""other"": {""Full renovation"": 147}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": ""High-end""}}","[""No""]",1135,Wigan,189037.11,178762.5
"[""Full renovation""]",3,1,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": 976}}","{""bedrooms"": [0, 0, 0], ""bathrooms"": [0], ""other"": {""Full renovation"": 55}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": ""Budget-friendly""}}","[""No""]",1362,Stretford,141202.68,337095.0
"[""Living room"", ""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 393, ""Kitchen"": 159}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 37, ""Kitchen"": 2}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""High-end"", ""Kitchen"": ""High-end""}}","[""No"", ""Yes""]",1384,Chorlton,64693.93000000001,470560.0
"[""Living room"", ""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 268, ""Kitchen"": 203}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 50, ""Kitchen"": 218}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly"", ""Kitchen"": ""High-end""}}","[""No"", ""Yes""]",1312,Wigan,64414.75,234192.0
"[""Full renovation""]",2,3,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": 1392}}","{""bedrooms"": [0, 0], ""bathrooms"": [0, 0, 0], ""other"": {""Full renovation"": 188}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": ""Mid-range""}}","[""No""]",1758,Bolton,228378.82,276885.0
"[""Bathroom"", ""Living room""]",0,1,"{""bedrooms"": [], ""bathrooms"": [37], ""other"": {""Living room"": 411}}","{""bedrooms"": [], ""bathrooms"": [26], ""other"": {""Living room"": 181}}","{""bedrooms"": [], ""bathrooms"": [""High-end""], ""other"": {""Living room"": ""Budget-friendly""}}","[""No"", ""Yes""]",1508,Cheadle,61889.07,525538.0
"[""Bathroom"", ""Other/Custom""]",0,1,"{""bedrooms"": [], ""bathrooms"": [79], ""other"": {""Other/Custom"": 149}}","{""bedrooms"": [], ""bathrooms"": [16], ""other"": {""Other/Custom"": 195}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly""], ""other"": {""Other/Custom"": ""High-end""}}","[""Yes"", ""Yes""]",1616,Stockport,79654.04999999999,315120.0
"[""Bathroom"", ""Other/Custom""]",0,1,"{""bedrooms"": [], ""bathrooms"": [59], ""other"": {""Other/Custom"": 190}}","{""bedrooms"": [], ""bathrooms"": [93], ""other"": {""Other/Custom"": 253}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly""], ""other"": {""Other/Custom"": ""High-end""}}","[""No"", ""Yes""]",1044,Withington,52711.65,283968.0
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 132}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 105}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range""}}","[""No""]",1344,Wigan,26668.09,282240.0
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 155}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 198}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly""}}","[""Yes""]",2128,Trafford,37717.85,829920.0
"[""Bedroom"", ""Bathroom""]",2,1,"{""bedrooms"": [84, 202], ""bathrooms"": [120], ""other"": {}}","{""bedrooms"": [116, 239], ""bathrooms"": [99], ""other"": {}}","{""bedrooms"": [""Mid-range"", ""Budget-friendly""], ""bathrooms"": [""High-end""], ""other"": {}}","[""No"", ""Yes"", ""No""]",1382,Prestwich,85914.4,310950.0
"[""Bathroom"", ""Other/Custom""]",0,3,"{""bedrooms"": [], ""bathrooms"": [63, 78, 41], ""other"": {""Other/Custom"": 185}}","{""bedrooms"": [], ""bathrooms"": [32, 45, 23], ""other"": {""Other/Custom"": 159}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly"", ""High-end"", ""High-end""], ""other"": {""Other/Custom"": ""Mid-range""}}","[""No"", ""No"", ""Yes"", ""Yes""]",1752,Stretford,169932.75,433620.0
"[""Full renovation""]",3,3,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": 619}}","{""bedrooms"": [0, 0, 0], ""bathrooms"": [0, 0, 0], ""other"": {""Full renovation"": 132}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": ""Mid-range""}}","[""Yes""]",923,Levenshulme,164130.58999999997,200752.5
"[""Full renovation""]",5,3,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": 1103}}","{""bedrooms"": [0, 0, 0, 0, 0], ""bathrooms"": [0, 0, 0], ""other"": {""Full renovation"": 300}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Full renovation"": ""High-end""}}","[""Yes""]",1232,Oldham,264396.94,184800.0
"[""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 280, ""Other/Custom"": 110}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 34, ""Other/Custom"": 245}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""High-end"", ""Other/Custom"": ""Mid-range""}}","[""Yes"", ""Yes""]",859,Tameside,54898.98,160633.0
"[""Bathroom"", ""Living room""]",0,3,"{""bedrooms"": [], ""bathrooms"": [84, 92, 44], ""other"": {""Living room"": 300}}","{""bedrooms"": [], ""bathrooms"": [52, 25, 70], ""other"": {""Living room"": 259}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range"", ""Mid-range"", ""Budget-friendly""], ""other"": {""Living room"": ""High-end""}}","[""Yes"", ""No"", ""Yes"", ""Yes""]",1195,Didsbury,114968.57,376425.0
"[""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 340, ""Other/Custom"": 135}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 121, ""Other/Custom"": 157}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly"", ""Other/Custom"": ""Mid-range""}}","[""Yes"", ""Yes""]",1098,Trafford,48938.67999999999,363987.0
"[""Bathroom"", ""Living room""]",0,2,"{""bedrooms"": [], ""bathrooms"": [110, 92], ""other"": {""Living room"": 167}}","{""bedrooms"": [], ""bathrooms"": [61, 68], ""other"": {""Living room"": 260}}","{""bedrooms"": [], ""bathrooms"": [""High-end"", ""High-end""], ""other"": {""Living room"": ""Mid-range""}}","[""Yes"", ""No"", ""No""]",1375,Wigan,95945.44,216562.5
"[""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 229, ""Other/Custom"": 290}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 142, ""Other/Custom"": 298}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""High-end"", ""Other/Custom"": ""Budget-friendly""}}","[""Yes"", ""Yes""]",1773,Trafford,90610.22,518602.5
"[""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 293, ""Other/Custom"": 86}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 324, ""Other/Custom"": 33}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly"", ""Other/Custom"": ""Budget-friendly""}}","[""Yes"", ""No""]",1059,Withington,50839.32,288048.0
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 298}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 283}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""High-end""}}","[""No""]",1677,Bury,60482.34,327853.5
"[""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 376}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 295}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range""}}","[""No""]",1321,Ashton-under-Lyne,31622.88,284015.0
"[""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 203}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 447}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range""}}","[""No""]",1334,Cheadle,31622.88,546940.0
"[""Bedroom"", ""Bathroom""]",1,2,"{""bedrooms"": [165], ""bathrooms"": [89, 94], ""other"": {}}","{""bedrooms"": [159], ""bathrooms"": [107, 68], ""other"": {}}","{""bedrooms"": [""Mid-range""], ""bathrooms"": [""High-end"", ""High-end""], ""other"": {}}","[""No"", ""Yes"", ""Yes""]",1353,Prestwich,92381.86,304425.0
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 412, ""Kitchen"": 223, ""Other/Custom"": 272}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 198, ""Kitchen"": 63, ""Other/Custom"": 133}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly"", ""Kitchen"": ""Budget-friendly"", ""Other/Custom"": ""Budget-friendly""}}","[""Yes"", ""Yes"", ""No""]",1249,Bury,78198.14,215452.5
"[""Bedroom""]",1,0,"{""bedrooms"": [143], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [5], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [""Mid-range""], ""bathrooms"": [], ""other"": {}}","[""No""]",1427,Bury,26352.48,328210.0
"[""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 269}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 91}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range""}}","[""Yes""]",1129,Stretford,26112.38,372570.0
"[""Bedroom""]",2,0,"{""bedrooms"": [162, 213], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [157, 237], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [""Budget-friendly"", ""High-end""], ""bathrooms"": [], ""other"": {}}","[""Yes"", ""Yes""]",1166,Stockport,60710.22,257686.0
"[""Living room"", ""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 238, ""Kitchen"": 278, ""Other/Custom"": 127}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 71, ""Kitchen"": 56, ""Other/Custom"": 190}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""High-end"", ""Kitchen"": ""Budget-friendly"", ""Other/Custom"": ""High-end""}}","[""Yes"", ""No"", ""Yes""]",995,Prestwich,75922.62,223875.0
"[""Bathroom""]",0,3,"{""bedrooms"": [], ""bathrooms"": [56, 113, 51], ""other"": {}}","{""bedrooms"": [], ""bathrooms"": [116, 44, 10], ""other"": {}}","{""bedrooms"": [], ""bathrooms"": [""High-end"", ""High-end"", ""Mid-range""], ""other"": {}}","[""Yes"", ""Yes"", ""Yes""]",1214,Bury,91065.52,209415.0
"[""Bathroom"", ""Living room""]",0,2,"{""bedrooms"": [], ""bathrooms"": [46, 79], ""other"": {""Living room"": 210}}","{""bedrooms"": [], ""bathrooms"": [96, 62], ""other"": {""Living room"": 162}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly"", ""Budget-friendly""], ""other"": {""Living room"": ""High-end""}}","[""No"", ""Yes"", ""Yes""]",1437,Stockport,81172.04000000001,280215.0
"[""Bedroom"", ""Living room""]",2,0,"{""bedrooms"": [178, 99], ""bathrooms"": [], ""other"": {""Living room"": 352}}","{""bedrooms"": [74, 120], ""bathrooms"": [], ""other"": {""Living room"": 330}}","{""bedrooms"": [""Mid-range"", ""High-end""], ""bathrooms"": [], ""other"": {""Living room"": ""High-end""}}","[""No"", ""Yes"", ""No""]",2266,Cheadle,136026.21000000002,696795.0
"[""Bedroom""]",2,0,"{""bedrooms"": [210, 107], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [214, 198], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [""Mid-range"", ""Mid-range""], ""bathrooms"": [], ""other"": {}}","[""Yes"", ""No""]",1569,Tameside,56529.07,293403.0
"[""Bathroom"", ""Kitchen""]",0,1,"{""bedrooms"": [], ""bathrooms"": [38], ""other"": {""Kitchen"": 153}}","{""bedrooms"": [], ""bathrooms"": [33], ""other"": {""Kitchen"": 172}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly""], ""other"": {""Kitchen"": ""High-end""}}","[""No"", ""No""]",1246,Prestwich,62566.77,317730.0
"[""Bedroom"", ""Bathroom""]",3,1,"{""bedrooms"": [115, 123, 110], ""bathrooms"": [106], ""other"": {}}","{""bedrooms"": [134, 49, 21], ""bathrooms"": [120], ""other"": {}}","{""bedrooms"": [""Budget-friendly"", ""Mid-range"", ""High-end""], ""bathrooms"": [""Mid-range""], ""other"": {}}","[""Yes"", ""Yes"", ""Yes"", ""Yes""]",1507,Trafford,113422.94,440797.5
"[""Bedroom"", ""Living room""]",2,0,"{""bedrooms"": [141, 83], ""bathrooms"": [], ""other"": {""Living room"": 405}}","{""bedrooms"": [197, 85], ""bathrooms"": [], ""other"": {""Living room"": 158}}","{""bedrooms"": [""High-end"", ""Budget-friendly""], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly""}}","[""Yes"", ""Yes"", ""Yes""]",1305,Ashton-under-Lyne,85572.91,210431.25
"[""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 345, ""Other/Custom"": 246}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 76, ""Other/Custom"": 279}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""High-end"", ""Other/Custom"": ""High-end""}}","[""Yes"", ""No""]",1944,Trafford,99227.28,568620.0
"[""Bathroom"", ""Living room""]",0,2,"{""bedrooms"": [], ""bathrooms"": [70, 106], ""other"": {""Living room"": 281}}","{""bedrooms"": [], ""bathrooms"": [45, 21], ""other"": {""Living room"": 12}}","{""bedrooms"": [], ""bathrooms"": [""High-end"", ""Budget-friendly""], ""other"": {""Living room"": ""High-end""}}","[""Yes"", ""Yes"", ""Yes""]",1292,Altrincham,87146.55,406980.0
"[""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 419}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 212}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly""}}","[""No""]",1478,Bolton,27150.99,310380.0
"[""Bedroom"", ""Other/Custom""]",2,0,"{""bedrooms"": [88, 146], ""bathrooms"": [], ""other"": {""Other/Custom"": 212}}","{""bedrooms"": [127, 84], ""bathrooms"": [], ""other"": {""Other/Custom"": 173}}","{""bedrooms"": [""High-end"", ""High-end""], ""bathrooms"": [], ""other"": {""Other/Custom"": ""Mid-range""}}","[""Yes"", ""Yes"", ""No""]",1430,Tameside,90516.88,235950.0
"[""Kitchen"", ""Other/Custom""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 341, ""Other/Custom"": 259}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 87, ""Other/Custom"": 214}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly"", ""Other/Custom"": ""Budget-friendly""}}","[""Yes"", ""No""]",1547,Stretford,53412.79,433933.5
"[""Bathroom""]",0,3,"{""bedrooms"": [], ""bathrooms"": [82, 116, 44], ""other"": {}}","{""bedrooms"": [], ""bathrooms"": [52, 49, 79], ""other"": {}}","{""bedrooms"": [], ""bathrooms"": [""High-end"", ""Budget-friendly"", ""Budget-friendly""], ""other"": {}}","[""Yes"", ""Yes"", ""Yes""]",724,Manchester City Centre,63463.67,215390.0
"[""Bathroom"", ""Other/Custom""]",0,3,"{""bedrooms"": [], ""bathrooms"": [75, 60, 53], ""other"": {""Other/Custom"": 93}}","{""bedrooms"": [], ""bathrooms"": [69, 88, 51], ""other"": {""Other/Custom"": 153}}","{""bedrooms"": [], ""bathrooms"": [""High-end"", ""Mid-range"", ""High-end""], ""other"": {""Other/Custom"": ""Budget-friendly""}}","[""Yes"", ""Yes"", ""Yes"", ""Yes""]",1215,Didsbury,119856.49000000002,382725.0
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 303}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 101}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""High-end""}}","[""Yes""]",1224,Tameside,34563.3,269280.0
"[""Bathroom"", ""Other/Custom""]",0,2,"{""bedrooms"": [], ""bathrooms"": [97, 70], ""other"": {""Other/Custom"": 186}}","{""bedrooms"": [], ""bathrooms"": [38, 87], ""other"": {""Other/Custom"": 120}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range"", ""Mid-range""], ""other"": {""Other/Custom"": ""Budget-friendly""}}","[""Yes"", ""No"", ""No""]",1083,Bury,69050.69,211726.5
"[""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 310}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 228}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range""}}","[""Yes""]",1147,Levenshulme,28068.3,332630.0
"[""Bathroom"", ""Other/Custom""]",0,1,"{""bedrooms"": [], ""bathrooms"": [91], ""other"": {""Other/Custom"": 138}}","{""bedrooms"": [], ""bathrooms"": [103], ""other"": {""Other/Custom"": 271}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range""], ""other"": {""Other/Custom"": ""Budget-friendly""}}","[""No"", ""Yes""]",1123,Chorlton,57613.619999999995,381820.0
"[""Bedroom"", ""Kitchen""]",3,0,"{""bedrooms"": [187, 87, 166], ""bathrooms"": [], ""other"": {""Kitchen"": 335}}","{""bedrooms"": [124, 250, 30], ""bathrooms"": [], ""other"": {""Kitchen"": 37}}","{""bedrooms"": [""High-end"", ""Budget-friendly"", ""Budget-friendly""], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range""}}","[""Yes"", ""Yes"", ""No"", ""Yes""]",1406,Wigan,114194.01,221445.0
