renovation_type,bedrooms_to_reno,bathrooms_to_reno,sqft_to_add,structural_changes,sqft_renovated,material_grade,property_size,Location
"[""Bedroom"", ""Kitchen""]",2,0,"{""bedrooms"": [43, 32], ""bathrooms"": [], ""other"": {""Kitchen"": 129}}","[""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [131, 142], ""bathrooms"": [], ""other"": {""Kitchen"": 244}}","{""bedrooms"": [""High-end"", ""Mid-range""], ""bathrooms"": [], ""other"": {""Kitchen"": ""Mid-range""}}",1181,Levenshulme
"[""Bedroom"", ""Living room"", ""Kitchen""]",1,0,"{""bedrooms"": [186], ""bathrooms"": [], ""other"": {""Living room"": 254, ""Kitchen"": 255}}","[""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [148], ""bathrooms"": [], ""other"": {""Living room"": 88, ""Kitchen"": 87}}","{""bedrooms"": [""Mid-range""], ""bathrooms"": [], ""other"": {""Living room"": ""Budget-friendly"", ""Kitchen"": ""High-end""}}",1364,Rochdale
"[""Bedroom"", ""Bathroom"", ""Living room""]",1,3,"{""bedrooms"": [139], ""bathrooms"": [0, 17, 16], ""other"": {""Living room"": 168}}","[""Yes"", ""Yes"", ""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [133], ""bathrooms"": [82, 96, 88], ""other"": {""Living room"": 116}}","{""bedrooms"": [""Budget-friendly""], ""bathrooms"": [""Budget-friendly"", ""Mid-range"", ""High-end""], ""other"": {""Living room"": ""High-end""}}",1499,Wigan
"[""Kitchen"", ""Living room"", ""Bathroom""]",0,3,"{""bedrooms"": [], ""bathrooms"": [4, 44, 58], ""other"": {""Kitchen"": 87, ""Living room"": 13}}","[""Yes"", ""Yes"", ""No"", ""No"", ""No""]","{""bedrooms"": [], ""bathrooms"": [81, 87, 54], ""other"": {""Kitchen"": 181, ""Living room"": 275}}","{""bedrooms"": [], ""bathrooms"": [""High-end"", ""Budget-friendly"", ""Mid-range""], ""other"": {""Kitchen"": ""Budget-friendly"", ""Living room"": ""High-end""}}",930,Bolton
"[""Bathroom"", ""Kitchen""]",0,1,"{""bedrooms"": [], ""bathrooms"": [76], ""other"": {""Kitchen"": 12}}","[""Yes"", ""No""]","{""bedrooms"": [], ""bathrooms"": [38], ""other"": {""Kitchen"": 136}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range""], ""other"": {""Kitchen"": ""Mid-range""}}",1336,Chorlton
"[""Bedroom"", ""Kitchen""]",1,0,"{""bedrooms"": [97], ""bathrooms"": [], ""other"": {""Kitchen"": 238}}","[""Yes"", ""No""]","{""bedrooms"": [192], ""bathrooms"": [], ""other"": {""Kitchen"": 231}}","{""bedrooms"": [""Budget-friendly""], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly""}}",916,Levenshulme
"[""Bathroom"", ""Bedroom"", ""Kitchen""]",1,3,"{""bedrooms"": [77], ""bathrooms"": [17, 7, 25], ""other"": {""Kitchen"": 65}}","[""Yes"", ""Yes"", ""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [101], ""bathrooms"": [42, 41, 100], ""other"": {""Kitchen"": 222}}","{""bedrooms"": [""Mid-range""], ""bathrooms"": [""High-end"", ""High-end"", ""Budget-friendly""], ""other"": {""Kitchen"": ""Budget-friendly""}}",851,Bolton
"[""Bedroom""]",1,0,"{""bedrooms"": [17], ""bathrooms"": [], ""other"": {}}","[""Yes""]","{""bedrooms"": [136], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [""Mid-range""], ""bathrooms"": [], ""other"": {}}",1341,Bury
"[""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 250}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 86}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""Budget-friendly""}}",1000,Rochdale
"[""Other"", ""Bathroom"", ""Kitchen""]",0,1,"{""bedrooms"": [], ""bathrooms"": [27], ""other"": {""Other"": 149, ""Kitchen"": 145}}","[""No"", ""No"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [94], ""other"": {""Other"": 184, ""Kitchen"": 225}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly""], ""other"": {""Other"": ""High-end"", ""Kitchen"": ""High-end""}}",1599,Ashton-under-Lyne
"[""Bathroom"", ""Kitchen""]",0,3,"{""bedrooms"": [], ""bathrooms"": [37, 78, 39], ""other"": {""Kitchen"": 288}}","[""Yes"", ""Yes"", ""No"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [45, 39, 53], ""other"": {""Kitchen"": 123}}","{""bedrooms"": [], ""bathrooms"": [""High-end"", ""Budget-friendly"", ""High-end""], ""other"": {""Kitchen"": ""Mid-range""}}",1051,Chorlton
"[""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 112}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 193}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range""}}",653,Levenshulme
"[""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 204}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 296}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""High-end""}}",961,Levenshulme
"[""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 238}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 294}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""Budget-friendly""}}",1698,Wigan
"[""Bedroom"", ""Other""]",3,0,"{""bedrooms"": [26, 26, 89], ""bathrooms"": [], ""other"": {""Other"": 15}}","[""No"", ""No"", ""Yes"", ""Yes""]","{""bedrooms"": [177, 83, 165], ""bathrooms"": [], ""other"": {""Other"": 197}}","{""bedrooms"": [""Mid-range"", ""Budget-friendly"", ""Budget-friendly""], ""bathrooms"": [], ""other"": {""Other"": ""Mid-range""}}",1212,Didsbury
"[""Bedroom""]",4,0,"{""bedrooms"": [3, 188, 14, 26], ""bathrooms"": [], ""other"": {}}","[""Yes"", ""No"", ""Yes"", ""No""]","{""bedrooms"": [160, 103, 193, 199], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [""High-end"", ""High-end"", ""Mid-range"", ""Mid-range""], ""bathrooms"": [], ""other"": {}}",1276,Altrincham
"[""Bedroom"", ""Other"", ""Living room""]",2,0,"{""bedrooms"": [72, 82], ""bathrooms"": [], ""other"": {""Other"": 9, ""Living room"": 154}}","[""Yes"", ""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [166, 119], ""bathrooms"": [], ""other"": {""Other"": 117, ""Living room"": 98}}","{""bedrooms"": [""Mid-range"", ""Budget-friendly""], ""bathrooms"": [], ""other"": {""Other"": ""High-end"", ""Living room"": ""High-end""}}",944,Oldham
"[""Other"", ""Living room"", ""Bedroom""]",2,0,"{""bedrooms"": [38, 40], ""bathrooms"": [], ""other"": {""Other"": 178, ""Living room"": 100}}","[""Yes"", ""No"", ""No"", ""No""]","{""bedrooms"": [87, 154], ""bathrooms"": [], ""other"": {""Other"": 93, ""Living room"": 147}}","{""bedrooms"": [""Mid-range"", ""High-end""], ""bathrooms"": [], ""other"": {""Other"": ""High-end"", ""Living room"": ""Mid-range""}}",1390,Altrincham
"[""Living room"", ""Bedroom"", ""Bathroom""]",3,2,"{""bedrooms"": [45, 27, 36], ""bathrooms"": [75, 7], ""other"": {""Living room"": 159}}","[""Yes"", ""No"", ""Yes"", ""Yes"", ""Yes"", ""No""]","{""bedrooms"": [165, 169, 86], ""bathrooms"": [83, 75], ""other"": {""Living room"": 89}}","{""bedrooms"": [""High-end"", ""Mid-range"", ""Mid-range""], ""bathrooms"": [""Budget-friendly"", ""Budget-friendly""], ""other"": {""Living room"": ""Budget-friendly""}}",1035,Levenshulme
"[""Bathroom"", ""Bedroom"", ""Other""]",1,3,"{""bedrooms"": [53], ""bathrooms"": [27, 55, 1], ""other"": {""Other"": 218}}","[""Yes"", ""No"", ""Yes"", ""Yes"", ""No""]","{""bedrooms"": [114], ""bathrooms"": [49, 84, 48], ""other"": {""Other"": 198}}","{""bedrooms"": [""Budget-friendly""], ""bathrooms"": [""High-end"", ""High-end"", ""Budget-friendly""], ""other"": {""Other"": ""Budget-friendly""}}",1068,Tameside
"[""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 51}}","[""No""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 221}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range""}}",1211,Rochdale
"[""Other"", ""Living room""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 195, ""Living room"": 57}}","[""No"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 95, ""Living room"": 270}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""High-end"", ""Living room"": ""Mid-range""}}",978,Levenshulme
"[""Living room"", ""Other"", ""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 264, ""Other"": 299, ""Kitchen"": 92}}","[""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 109, ""Other"": 214, ""Kitchen"": 192}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""High-end"", ""Other"": ""Budget-friendly"", ""Kitchen"": ""Mid-range""}}",1402,Ashton-under-Lyne
"[""Living room"", ""Bathroom"", ""Bedroom""]",1,1,"{""bedrooms"": [101], ""bathrooms"": [52], ""other"": {""Living room"": 187}}","[""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [131], ""bathrooms"": [100], ""other"": {""Living room"": 145}}","{""bedrooms"": [""Budget-friendly""], ""bathrooms"": [""High-end""], ""other"": {""Living room"": ""Budget-friendly""}}",1670,Rochdale
"[""Kitchen"", ""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 64, ""Other"": 64}}","[""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 133, ""Other"": 205}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""High-end"", ""Other"": ""Budget-friendly""}}",1386,Trafford
"[""Bedroom"", ""Kitchen""]",2,0,"{""bedrooms"": [61, 186], ""bathrooms"": [], ""other"": {""Kitchen"": 167}}","[""Yes"", ""No"", ""Yes""]","{""bedrooms"": [85, 109], ""bathrooms"": [], ""other"": {""Kitchen"": 166}}","{""bedrooms"": [""Budget-friendly"", ""Mid-range""], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly""}}",1608,Trafford
"[""Kitchen"", ""Bathroom"", ""Other""]",0,1,"{""bedrooms"": [], ""bathrooms"": [59], ""other"": {""Kitchen"": 171, ""Other"": 21}}","[""No"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [74], ""other"": {""Kitchen"": 174, ""Other"": 213}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range""], ""other"": {""Kitchen"": ""High-end"", ""Other"": ""High-end""}}",1441,Oldham
"[""Bedroom""]",3,0,"{""bedrooms"": [60, 136, 144], ""bathrooms"": [], ""other"": {}}","[""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [191, 176, 181], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [""High-end"", ""Budget-friendly"", ""Budget-friendly""], ""bathrooms"": [], ""other"": {}}",1274,Didsbury
"[""Other"", ""Bathroom"", ""Kitchen""]",0,1,"{""bedrooms"": [], ""bathrooms"": [48], ""other"": {""Other"": 97, ""Kitchen"": 59}}","[""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [36], ""other"": {""Other"": 245, ""Kitchen"": 190}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range""], ""other"": {""Other"": ""Mid-range"", ""Kitchen"": ""Mid-range""}}",1004,Oldham
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 46}}","[""No""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 259}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly""}}",1235,Bury
"[""Bathroom"", ""Bedroom"", ""Kitchen""]",2,3,"{""bedrooms"": [131, 117], ""bathrooms"": [3, 30, 3], ""other"": {""Kitchen"": 5}}","[""No"", ""Yes"", ""Yes"", ""Yes"", ""Yes"", ""No""]","{""bedrooms"": [134, 185], ""bathrooms"": [54, 61, 43], ""other"": {""Kitchen"": 234}}","{""bedrooms"": [""Budget-friendly"", ""High-end""], ""bathrooms"": [""Mid-range"", ""Budget-friendly"", ""Budget-friendly""], ""other"": {""Kitchen"": ""High-end""}}",1033,Prestwich
"[""Living room"", ""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 127, ""Kitchen"": 209}}","[""Yes"", ""No""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 249, ""Kitchen"": 172}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""High-end"", ""Kitchen"": ""High-end""}}",1058,Ashton-under-Lyne
"[""Bathroom"", ""Kitchen""]",0,2,"{""bedrooms"": [], ""bathrooms"": [63, 58], ""other"": {""Kitchen"": 277}}","[""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [37, 80], ""other"": {""Kitchen"": 294}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly"", ""Budget-friendly""], ""other"": {""Kitchen"": ""Budget-friendly""}}",1207,Stretford
"[""Bathroom"", ""Other"", ""Kitchen""]",0,3,"{""bedrooms"": [], ""bathrooms"": [24, 15, 53], ""other"": {""Other"": 222, ""Kitchen"": 95}}","[""No"", ""Yes"", ""No"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [36, 86, 86], ""other"": {""Other"": 190, ""Kitchen"": 139}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly"", ""Mid-range"", ""Budget-friendly""], ""other"": {""Other"": ""High-end"", ""Kitchen"": ""Mid-range""}}",1683,Sale
"[""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 276}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 277}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""Budget-friendly""}}",1013,Ashton-under-Lyne
"[""Bedroom""]",2,0,"{""bedrooms"": [37, 12], ""bathrooms"": [], ""other"": {}}","[""Yes"", ""Yes""]","{""bedrooms"": [146, 100], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [""Mid-range"", ""High-end""], ""bathrooms"": [], ""other"": {}}",1244,Withington
"[""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 119}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 122}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""High-end""}}",668,Levenshulme
"[""Bathroom""]",0,2,"{""bedrooms"": [], ""bathrooms"": [57, 29], ""other"": {}}","[""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [52, 96], ""other"": {}}","{""bedrooms"": [], ""bathrooms"": [""Budget-friendly"", ""High-end""], ""other"": {}}",1433,Rochdale
"[""Other"", ""Bedroom""]",3,0,"{""bedrooms"": [56, 78, 39], ""bathrooms"": [], ""other"": {""Other"": 52}}","[""No"", ""Yes"", ""No"", ""No""]","{""bedrooms"": [117, 123, 160], ""bathrooms"": [], ""other"": {""Other"": 219}}","{""bedrooms"": [""Budget-friendly"", ""Budget-friendly"", ""Budget-friendly""], ""bathrooms"": [], ""other"": {""Other"": ""Budget-friendly""}}",1678,Bolton
"[""Other"", ""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 58, ""Kitchen"": 63}}","[""No"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 223, ""Kitchen"": 159}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""Mid-range"", ""Kitchen"": ""Mid-range""}}",708,Rochdale
"[""Kitchen"", ""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 289, ""Other"": 68}}","[""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": 239, ""Other"": 240}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Kitchen"": ""Budget-friendly"", ""Other"": ""Mid-range""}}",1383,Ashton-under-Lyne
"[""Living room"", ""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 282, ""Other"": 16}}","[""Yes"", ""No""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 206, ""Other"": 198}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""Mid-range"", ""Other"": ""High-end""}}",1208,Stretford
"[""Kitchen"", ""Living room"", ""Bathroom""]",0,1,"{""bedrooms"": [], ""bathrooms"": [13], ""other"": {""Kitchen"": 175, ""Living room"": 155}}","[""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [77], ""other"": {""Kitchen"": 262, ""Living room"": 239}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range""], ""other"": {""Kitchen"": ""Budget-friendly"", ""Living room"": ""Mid-range""}}",1533,Wigan
"[""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 46}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 118}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""Mid-range""}}",2482,Cheadle
"[""Living room"", ""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 267, ""Kitchen"": 262}}","[""No"", ""No""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": 278, ""Kitchen"": 144}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Living room"": ""High-end"", ""Kitchen"": ""High-end""}}",962,Trafford
"[""Bedroom""]",2,0,"{""bedrooms"": [121, 138], ""bathrooms"": [], ""other"": {}}","[""Yes"", ""Yes""]","{""bedrooms"": [186, 145], ""bathrooms"": [], ""other"": {}}","{""bedrooms"": [""Mid-range"", ""Mid-range""], ""bathrooms"": [], ""other"": {}}",653,Tameside
"[""Other"", ""Kitchen""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 142, ""Kitchen"": 121}}","[""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 131, ""Kitchen"": 125}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""Mid-range"", ""Kitchen"": ""Mid-range""}}",1193,Stretford
"[""Bathroom"", ""Other""]",0,3,"{""bedrooms"": [], ""bathrooms"": [10, 25, 40], ""other"": {""Other"": 27}}","[""Yes"", ""Yes"", ""Yes"", ""Yes""]","{""bedrooms"": [], ""bathrooms"": [63, 44, 80], ""other"": {""Other"": 182}}","{""bedrooms"": [], ""bathrooms"": [""Mid-range"", ""Mid-range"", ""High-end""], ""other"": {""Other"": ""Budget-friendly""}}",1057,Withington
"[""Other""]",0,0,"{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 56}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": 168}}","{""bedrooms"": [], ""bathrooms"": [], ""other"": {""Other"": ""Budget-friendly""}}",1557,Bolton
"[""Bathroom""]",0,1,"{""bedrooms"": [], ""bathrooms"": [23], ""other"": {}}","[""Yes""]","{""bedrooms"": [], ""bathrooms"": [79], ""other"": {}}","{""bedrooms"": [], ""bathrooms"": [""High-end""], ""other"": {}}",1439,Tameside
