renovation_type,bedrooms_to_reno,bathrooms_to_reno,sqft_to_add,structural_changes,sqft_renovated,material_grade,property_size,location,renovation_cost,pre_renovation_cost
"['Living room', 'Bedroom', 'Other']",1,0,"{'bedrooms': [30], 'bathrooms': [], 'other': {'Living room': 224, 'Other': 51}}","['Yes', 'No', 'Yes']","{'bedrooms': [91], 'bathrooms': [], 'other': {'Living room': 128, 'Other': 209}}","{'bedrooms': ['Mid-range'], 'bathrooms': [], 'other': {'Living room': 'Budget-friendly', 'Other': 'Mid-range'}}",1375,Trafford,78499.36,402187.5
"['Kitchen', 'Other', 'Living room']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 3, 'Other': 4, 'Living room': 184}}","['No', 'Yes', 'No']","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 119, 'Other': 189, 'Living room': 157}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Budget-friendly', 'Other': 'High-end', 'Living room': 'High-end'}}",1017,Rochdale,78553.59,144922.5
"['Other', 'Bathroom', 'Living room']",0,1,"{'bedrooms': [], 'bathrooms': [34], 'other': {'Other': 48, 'Living room': 189}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [39], 'other': {'Other': 162, 'Living room': 200}}","{'bedrooms': [], 'bathrooms': ['High-end'], 'other': {'Other': 'Budget-friendly', 'Living room': 'High-end'}}",1788,Trafford,126724.74,522990.0
['Bathroom'],0,1,"{'bedrooms': [], 'bathrooms': [26], 'other': {}}",['Yes'],"{'bedrooms': [], 'bathrooms': [51], 'other': {}}","{'bedrooms': [], 'bathrooms': ['High-end'], 'other': {}}",1187,Levenshulme,32161.28,344230.0
"['Kitchen', 'Living room']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 162, 'Living room': 181}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 267, 'Living room': 109}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'High-end', 'Living room': 'Budget-friendly'}}",1634,Stockport,89875.44,318630.0
"['Kitchen', 'Bedroom', 'Bathroom']",2,3,"{'bedrooms': [123, 175], 'bathrooms': [59, 9, 1], 'other': {'Kitchen': 65}}","['Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']","{'bedrooms': [123, 185], 'bathrooms': [86, 95, 73], 'other': {'Kitchen': 282}}","{'bedrooms': ['Budget-friendly', 'High-end'], 'bathrooms': ['High-end', 'Mid-range', 'Budget-friendly'], 'other': {'Kitchen': 'Budget-friendly'}}",1540,Ashton-under-Lyne,174144.61000000002,248325.0
['Living room'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 163}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 91}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'Budget-friendly'}}",1959,Cheadle,37529.08,803190.0
['Bedroom'],2,0,"{'bedrooms': [86, 159], 'bathrooms': [], 'other': {}}","['No', 'No']","{'bedrooms': [130, 176], 'bathrooms': [], 'other': {}}","{'bedrooms': ['Mid-range', 'Mid-range'], 'bathrooms': [], 'other': {}}",1275,Oldham,54411.78,216750.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 18}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 92}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'High-end'}}",1138,Wigan,34563.3,238980.0
"['Bedroom', 'Kitchen']",2,0,"{'bedrooms': [43, 32], 'bathrooms': [], 'other': {'Kitchen': 129}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [131, 142], 'bathrooms': [], 'other': {'Kitchen': 244}}","{'bedrooms': ['High-end', 'Mid-range'], 'bathrooms': [], 'other': {'Kitchen': 'Mid-range'}}",1181,Levenshulme,84249.36,256867.5
"['Bedroom', 'Living room', 'Kitchen']",1,0,"{'bedrooms': [186], 'bathrooms': [], 'other': {'Living room': 254, 'Kitchen': 255}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [148], 'bathrooms': [], 'other': {'Living room': 88, 'Kitchen': 87}}","{'bedrooms': ['Mid-range'], 'bathrooms': [], 'other': {'Living room': 'Budget-friendly', 'Kitchen': 'High-end'}}",1364,Rochdale,103174.77,194370.0
"['Bedroom', 'Bathroom', 'Living room']",1,3,"{'bedrooms': [139], 'bathrooms': [0, 17, 16], 'other': {'Living room': 168}}","['Yes', 'Yes', 'Yes', 'Yes', 'Yes']","{'bedrooms': [133], 'bathrooms': [82, 96, 88], 'other': {'Living room': 116}}","{'bedrooms': ['Budget-friendly'], 'bathrooms': ['Budget-friendly', 'Mid-range', 'High-end'], 'other': {'Living room': 'High-end'}}",1499,Wigan,141472.45,236092.5
"['Kitchen', 'Living room', 'Bathroom']",0,3,"{'bedrooms': [], 'bathrooms': [4, 44, 58], 'other': {'Kitchen': 87, 'Living room': 13}}","['Yes', 'Yes', 'No', 'No', 'No']","{'bedrooms': [], 'bathrooms': [81, 87, 54], 'other': {'Kitchen': 181, 'Living room': 275}}","{'bedrooms': [], 'bathrooms': ['High-end', 'Budget-friendly', 'Mid-range'], 'other': {'Kitchen': 'Budget-friendly', 'Living room': 'High-end'}}",930,Bolton,114182.97,146475.0
"['Bathroom', 'Kitchen']",0,1,"{'bedrooms': [], 'bathrooms': [76], 'other': {'Kitchen': 12}}","['Yes', 'No']","{'bedrooms': [], 'bathrooms': [38], 'other': {'Kitchen': 136}}","{'bedrooms': [], 'bathrooms': ['Mid-range'], 'other': {'Kitchen': 'Mid-range'}}",1336,Chorlton,53411.05,454240.0
"['Bedroom', 'Kitchen']",1,0,"{'bedrooms': [97], 'bathrooms': [], 'other': {'Kitchen': 238}}","['Yes', 'No']","{'bedrooms': [192], 'bathrooms': [], 'other': {'Kitchen': 231}}","{'bedrooms': ['Budget-friendly'], 'bathrooms': [], 'other': {'Kitchen': 'Budget-friendly'}}",916,Levenshulme,45434.56,225794.0
"['Bathroom', 'Bedroom', 'Kitchen']",1,3,"{'bedrooms': [77], 'bathrooms': [17, 7, 25], 'other': {'Kitchen': 65}}","['Yes', 'Yes', 'Yes', 'Yes', 'Yes']","{'bedrooms': [101], 'bathrooms': [42, 41, 100], 'other': {'Kitchen': 222}}","{'bedrooms': ['Mid-range'], 'bathrooms': ['High-end', 'High-end', 'Budget-friendly'], 'other': {'Kitchen': 'Budget-friendly'}}",851,Bolton,114101.82,134032.5
['Bedroom'],1,0,"{'bedrooms': [17], 'bathrooms': [], 'other': {}}",['Yes'],"{'bedrooms': [136], 'bathrooms': [], 'other': {}}","{'bedrooms': ['Mid-range'], 'bathrooms': [], 'other': {}}",1341,Bury,26352.48,308430.0
['Other'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 250}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 86}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'Budget-friendly'}}",1000,Rochdale,25931.66,190000.0
"['Other', 'Bathroom', 'Kitchen']",0,1,"{'bedrooms': [], 'bathrooms': [27], 'other': {'Other': 149, 'Kitchen': 145}}","['No', 'No', 'Yes']","{'bedrooms': [], 'bathrooms': [94], 'other': {'Other': 184, 'Kitchen': 225}}","{'bedrooms': [], 'bathrooms': ['Budget-friendly'], 'other': {'Other': 'High-end', 'Kitchen': 'High-end'}}",1599,Ashton-under-Lyne,92931.33,257838.75
"['Bathroom', 'Kitchen']",0,3,"{'bedrooms': [], 'bathrooms': [37, 78, 39], 'other': {'Kitchen': 288}}","['Yes', 'Yes', 'No', 'Yes']","{'bedrooms': [], 'bathrooms': [45, 39, 53], 'other': {'Kitchen': 123}}","{'bedrooms': [], 'bathrooms': ['High-end', 'Budget-friendly', 'High-end'], 'other': {'Kitchen': 'Mid-range'}}",1051,Chorlton,100095.27999999998,315300.0
['Living room'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 112}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 193}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'Mid-range'}}",653,Levenshulme,22513.19,208307.0
['Other'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 204}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 296}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'High-end'}}",961,Levenshulme,26747.94,278690.0
['Other'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 238}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 294}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'Budget-friendly'}}",1698,Wigan,37431.78,356580.0
"['Bedroom', 'Other']",3,0,"{'bedrooms': [26, 26, 89], 'bathrooms': [], 'other': {'Other': 15}}","['No', 'No', 'Yes', 'Yes']","{'bedrooms': [177, 83, 165], 'bathrooms': [], 'other': {'Other': 197}}","{'bedrooms': ['Mid-range', 'Budget-friendly', 'Budget-friendly'], 'bathrooms': [], 'other': {'Other': 'Mid-range'}}",1212,Didsbury,102201.31,381780.0
['Bedroom'],4,0,"{'bedrooms': [3, 188, 14, 26], 'bathrooms': [], 'other': {}}","['Yes', 'No', 'Yes', 'No']","{'bedrooms': [160, 103, 193, 199], 'bathrooms': [], 'other': {}}","{'bedrooms': ['High-end', 'High-end', 'Mid-range', 'Mid-range'], 'bathrooms': [], 'other': {}}",1276,Altrincham,117185.19,401940.0
"['Bedroom', 'Other', 'Living room']",2,0,"{'bedrooms': [72, 82], 'bathrooms': [], 'other': {'Other': 9, 'Living room': 154}}","['Yes', 'Yes', 'Yes', 'Yes']","{'bedrooms': [166, 119], 'bathrooms': [], 'other': {'Other': 117, 'Living room': 98}}","{'bedrooms': ['Mid-range', 'Budget-friendly'], 'bathrooms': [], 'other': {'Other': 'High-end', 'Living room': 'High-end'}}",944,Oldham,96950.64,141600.0
"['Other', 'Living room', 'Bedroom']",2,0,"{'bedrooms': [38, 40], 'bathrooms': [], 'other': {'Other': 178, 'Living room': 100}}","['Yes', 'No', 'No', 'No']","{'bedrooms': [87, 154], 'bathrooms': [], 'other': {'Other': 93, 'Living room': 147}}","{'bedrooms': ['Mid-range', 'High-end'], 'bathrooms': [], 'other': {'Other': 'High-end', 'Living room': 'Mid-range'}}",1390,Altrincham,114476.76,437850.0
"['Living room', 'Bedroom', 'Bathroom']",3,2,"{'bedrooms': [45, 27, 36], 'bathrooms': [75, 7], 'other': {'Living room': 159}}","['Yes', 'No', 'Yes', 'Yes', 'Yes', 'No']","{'bedrooms': [165, 169, 86], 'bathrooms': [83, 75], 'other': {'Living room': 89}}","{'bedrooms': ['High-end', 'Mid-range', 'Mid-range'], 'bathrooms': ['Budget-friendly', 'Budget-friendly'], 'other': {'Living room': 'Budget-friendly'}}",1035,Levenshulme,140061.03999999998,225112.5
"['Bathroom', 'Bedroom', 'Other']",1,3,"{'bedrooms': [53], 'bathrooms': [27, 55, 1], 'other': {'Other': 218}}","['Yes', 'No', 'Yes', 'Yes', 'No']","{'bedrooms': [114], 'bathrooms': [49, 84, 48], 'other': {'Other': 198}}","{'bedrooms': ['Budget-friendly'], 'bathrooms': ['High-end', 'High-end', 'Budget-friendly'], 'other': {'Other': 'Budget-friendly'}}",1068,Tameside,116642.04,176220.0
['Living room'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 51}}",['No'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 221}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'Mid-range'}}",1211,Rochdale,26112.38,230090.0
"['Other', 'Living room']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 195, 'Living room': 57}}","['No', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 95, 'Living room': 270}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'High-end', 'Living room': 'Mid-range'}}",978,Levenshulme,48806.3,241077.0
"['Living room', 'Other', 'Kitchen']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 264, 'Other': 299, 'Kitchen': 92}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 109, 'Other': 214, 'Kitchen': 192}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'High-end', 'Other': 'Budget-friendly', 'Kitchen': 'Mid-range'}}",1402,Ashton-under-Lyne,93666.94,226072.5
"['Living room', 'Bathroom', 'Bedroom']",1,1,"{'bedrooms': [101], 'bathrooms': [52], 'other': {'Living room': 187}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [131], 'bathrooms': [100], 'other': {'Living room': 145}}","{'bedrooms': ['Budget-friendly'], 'bathrooms': ['High-end'], 'other': {'Living room': 'Budget-friendly'}}",1670,Rochdale,118835.11,237975.0
"['Kitchen', 'Other']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 64, 'Other': 64}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 133, 'Other': 205}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'High-end', 'Other': 'Budget-friendly'}}",1386,Trafford,58593.600000000006,459459.0
"['Bedroom', 'Kitchen']",2,0,"{'bedrooms': [61, 186], 'bathrooms': [], 'other': {'Kitchen': 167}}","['Yes', 'No', 'Yes']","{'bedrooms': [85, 109], 'bathrooms': [], 'other': {'Kitchen': 166}}","{'bedrooms': ['Budget-friendly', 'Mid-range'], 'bathrooms': [], 'other': {'Kitchen': 'Budget-friendly'}}",1608,Trafford,114788.80000000002,470340.0
"['Kitchen', 'Bathroom', 'Other']",0,1,"{'bedrooms': [], 'bathrooms': [59], 'other': {'Kitchen': 171, 'Other': 21}}","['No', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [74], 'other': {'Kitchen': 174, 'Other': 213}}","{'bedrooms': [], 'bathrooms': ['Mid-range'], 'other': {'Kitchen': 'High-end', 'Other': 'High-end'}}",1441,Oldham,94304.16,216150.0
['Bedroom'],3,0,"{'bedrooms': [60, 136, 144], 'bathrooms': [], 'other': {}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [191, 176, 181], 'bathrooms': [], 'other': {}}","{'bedrooms': ['High-end', 'Budget-friendly', 'Budget-friendly'], 'bathrooms': [], 'other': {}}",1274,Didsbury,82081.73000000001,401310.0
"['Other', 'Bathroom', 'Kitchen']",0,1,"{'bedrooms': [], 'bathrooms': [48], 'other': {'Other': 97, 'Kitchen': 59}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [36], 'other': {'Other': 245, 'Kitchen': 190}}","{'bedrooms': [], 'bathrooms': ['Mid-range'], 'other': {'Other': 'Mid-range', 'Kitchen': 'Mid-range'}}",1004,Oldham,68886.59999999999,170680.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 46}}",['No'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 259}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Budget-friendly'}}",1235,Bury,25876.67,284050.0
"['Bathroom', 'Bedroom', 'Kitchen']",2,3,"{'bedrooms': [131, 117], 'bathrooms': [3, 30, 3], 'other': {'Kitchen': 5}}","['No', 'Yes', 'Yes', 'Yes', 'Yes', 'No']","{'bedrooms': [134, 185], 'bathrooms': [54, 61, 43], 'other': {'Kitchen': 234}}","{'bedrooms': ['Budget-friendly', 'High-end'], 'bathrooms': ['Mid-range', 'Budget-friendly', 'Budget-friendly'], 'other': {'Kitchen': 'High-end'}}",1033,Prestwich,145491.06999999998,232425.0
"['Living room', 'Kitchen']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 127, 'Kitchen': 209}}","['Yes', 'No']","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 249, 'Kitchen': 172}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'High-end', 'Kitchen': 'High-end'}}",1058,Ashton-under-Lyne,63476.85,193349.5
"['Bathroom', 'Kitchen']",0,2,"{'bedrooms': [], 'bathrooms': [63, 58], 'other': {'Kitchen': 277}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [37, 80], 'other': {'Kitchen': 294}}","{'bedrooms': [], 'bathrooms': ['Budget-friendly', 'Budget-friendly'], 'other': {'Kitchen': 'Budget-friendly'}}",1207,Stretford,78931.26,298732.5
"['Bathroom', 'Other', 'Kitchen']",0,3,"{'bedrooms': [], 'bathrooms': [24, 15, 53], 'other': {'Other': 222, 'Kitchen': 95}}","['No', 'Yes', 'No', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [36, 86, 86], 'other': {'Other': 190, 'Kitchen': 139}}","{'bedrooms': [], 'bathrooms': ['Budget-friendly', 'Mid-range', 'Budget-friendly'], 'other': {'Other': 'High-end', 'Kitchen': 'Mid-range'}}",1683,Sale,196584.12,467032.5
['Other'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 276}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 277}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'Budget-friendly'}}",1013,Ashton-under-Lyne,25931.66,217795.0
['Bedroom'],2,0,"{'bedrooms': [37, 12], 'bathrooms': [], 'other': {}}","['Yes', 'Yes']","{'bedrooms': [146, 100], 'bathrooms': [], 'other': {}}","{'bedrooms': ['Mid-range', 'High-end'], 'bathrooms': [], 'other': {}}",1244,Withington,57581.27,338368.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 119}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 122}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'High-end'}}",668,Levenshulme,30411.06,193720.0
['Bathroom'],0,2,"{'bedrooms': [], 'bathrooms': [57, 29], 'other': {}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [52, 96], 'other': {}}","{'bedrooms': [], 'bathrooms': ['Budget-friendly', 'High-end'], 'other': {}}",1433,Rochdale,56191.58,231429.5
"['Other', 'Bedroom']",3,0,"{'bedrooms': [56, 78, 39], 'bathrooms': [], 'other': {'Other': 52}}","['No', 'Yes', 'No', 'No']","{'bedrooms': [117, 123, 160], 'bathrooms': [], 'other': {'Other': 219}}","{'bedrooms': ['Budget-friendly', 'Budget-friendly', 'Budget-friendly'], 'bathrooms': [], 'other': {'Other': 'Budget-friendly'}}",1678,Bolton,139768.82,264285.0
"['Other', 'Kitchen']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 58, 'Kitchen': 63}}","['No', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 223, 'Kitchen': 159}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'Mid-range', 'Kitchen': 'Mid-range'}}",708,Rochdale,43323.16,134520.0
"['Kitchen', 'Other']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 289, 'Other': 68}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 239, 'Other': 240}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'Budget-friendly', 'Other': 'Mid-range'}}",1383,Ashton-under-Lyne,55866.55,252743.25
"['Living room', 'Other']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 282, 'Other': 16}}","['Yes', 'No']","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 206, 'Other': 198}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'Mid-range', 'Other': 'High-end'}}",1208,Stretford,60647.61,338844.0
"['Kitchen', 'Living room', 'Bathroom']",0,1,"{'bedrooms': [], 'bathrooms': [13], 'other': {'Kitchen': 175, 'Living room': 155}}","['Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [77], 'other': {'Kitchen': 262, 'Living room': 239}}","{'bedrooms': [], 'bathrooms': ['Mid-range'], 'other': {'Kitchen': 'Budget-friendly', 'Living room': 'Mid-range'}}",1533,Wigan,83051.86,241447.5
['Other'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 46}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 118}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'Mid-range'}}",2482,Cheadle,38543.64,1017620.0
"['Living room', 'Kitchen']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 267, 'Kitchen': 262}}","['No', 'No']","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 278, 'Kitchen': 144}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'High-end', 'Kitchen': 'High-end'}}",962,Trafford,74315.82,281385.0
['Bedroom'],2,0,"{'bedrooms': [121, 138], 'bathrooms': [], 'other': {}}","['Yes', 'Yes']","{'bedrooms': [186, 145], 'bathrooms': [], 'other': {}}","{'bedrooms': ['Mid-range', 'Mid-range'], 'bathrooms': [], 'other': {}}",653,Tameside,45440.4,122111.0
"['Other', 'Kitchen']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 142, 'Kitchen': 121}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 131, 'Kitchen': 125}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'Mid-range', 'Kitchen': 'Mid-range'}}",1193,Stretford,51663.98,334636.5
"['Bathroom', 'Other']",0,3,"{'bedrooms': [], 'bathrooms': [10, 25, 40], 'other': {'Other': 27}}","['Yes', 'Yes', 'Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [63, 44, 80], 'other': {'Other': 182}}","{'bedrooms': [], 'bathrooms': ['Mid-range', 'Mid-range', 'High-end'], 'other': {'Other': 'Budget-friendly'}}",1057,Withington,91242.12,253680.0
['Other'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 56}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 168}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'Budget-friendly'}}",1557,Bolton,24091.41,359667.0
['Bathroom'],0,1,"{'bedrooms': [], 'bathrooms': [23], 'other': {}}",['Yes'],"{'bedrooms': [], 'bathrooms': [79], 'other': {}}","{'bedrooms': [], 'bathrooms': ['High-end'], 'other': {}}",1439,Tameside,32161.28,316580.0
['Kitchen'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 8}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 269}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Kitchen': 'High-end'}}",1927,Trafford,47926.05,638800.5
['Living room'],0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 211}}",['Yes'],"{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 214}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Living room': 'Mid-range'}}",705,Withington,24264.81,248160.0
"['Bathroom', 'Bedroom']",2,2,"{'bedrooms': [160, 157], 'bathrooms': [72, 39], 'other': {}}","['No', 'Yes', 'Yes', 'Yes']","{'bedrooms': [163, 162], 'bathrooms': [65, 43], 'other': {}}","{'bedrooms': ['Budget-friendly', 'Mid-range'], 'bathrooms': ['High-end', 'Mid-range'], 'other': {}}",1074,Chorlton,98637.15,322200.0
"['Other', 'Living room']",0,0,"{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 24, 'Living room': 59}}","['Yes', 'Yes']","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 136, 'Living room': 169}}","{'bedrooms': [], 'bathrooms': [], 'other': {'Other': 'High-end', 'Living room': 'High-end'}}",1209,Withington,59155.36,328848.0
